run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,0,add,6563,0.011275331489741802
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,0,sub,6610,0.011043872684240341
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,606,add,6563,0.0021331708412617445
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,606,sub,6610,0.002118003088980913
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,1212,add,6563,0.0027426481246948242
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,1212,sub,6610,0.002571860793977976
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,1818,add,6563,0.0036568641662597656
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,1818,sub,6610,0.003933434374630451
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,2424,add,6563,0.005942404270172119
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,2424,sub,6610,0.006505295168608427
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,3030,add,6563,0.00944689940661192
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,3030,sub,6610,0.009379727765917778
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,3636,add,6563,0.014627456665039062
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,3636,sub,6610,0.01452344935387373
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,4242,add,6563,0.023769617080688477
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,4242,sub,6610,0.02284417487680912
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,4848,add,6563,0.035197317600250244
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,4848,sub,6610,0.033585477620363235
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,5455,add,6563,0.05393874645233154
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,5455,sub,6610,0.047201208770275116
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,6061,add,6563,0.07725125551223755
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,6061,sub,6610,0.06913767009973526
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,6667,add,6563,0.10665854066610336
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,6667,sub,6610,0.09878971427679062
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,7273,add,6563,0.14155112206935883
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,7273,sub,6610,0.1313161849975586
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,7879,add,6563,0.17751029133796692
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,7879,sub,6610,0.17140695452690125
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,8485,add,6563,0.22367820143699646
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,8485,sub,6610,0.20922844111919403
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,9091,add,6563,0.2725887596607208
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,9091,sub,6610,0.2586989402770996
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,9697,add,6563,0.3490781784057617
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,9697,sub,6610,0.3272314667701721
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,10303,add,6563,0.4433947801589966
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,10303,sub,6610,0.42284417152404785
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,10909,add,6563,0.5727563500404358
