run,condition,recorded_every,stride,n_windows,n_finite,ph_dim_terminal,ph_dim_median,slope_median,steps_spanned
transformer_add113_f0.3_wd0.1_stride1_s0,transformer_add113_f0.3_wd0.1_stride1,1,1,1197,1197,1.0568052541205626,1.0515400285190388,0.04901385313084703,199
transformer_add113_f0.3_wd0.1_stride1_s0,transformer_add113_f0.3_wd0.1_stride1,1,5,237,237,1.7230410949244046,1.1344703974132129,0.11853142904374446,995
transformer_add113_f0.3_wd0.1_stride1_s0,transformer_add113_f0.3_wd0.1_stride1,1,20,57,57,1.2451779692811094,1.189887562231113,0.15958445844669716,3980
transformer_add113_f0.3_wd0.1_stride1_s0,transformer_add113_f0.3_wd0.1_stride1,1,40,27,27,1.1596912662322056,1.200054094375386,0.16670423051180178,7960
transformer_add113_f0.3_wd0.1_stride1_s0,transformer_add113_f0.3_wd0.1_stride1,1,60,17,17,1.2046006709963106,1.2507772769694432,0.20049714812301442,11940
transformer_add113_f0.3_wd0.1_stride1_s0,transformer_add113_f0.3_wd0.1_stride1,1,100,9,9,1.3034217869887186,1.3894466798602785,0.2802890427572513,19900
transformer_add113_f0.3_wd0.1_stride1_s1,transformer_add113_f0.3_wd0.1_stride1,1,1,1197,1197,1.0371383650923023,1.0616774341635555,0.058094325243098245,199
transformer_add113_f0.3_wd0.1_stride1_s1,transformer_add113_f0.3_wd0.1_stride1,1,5,237,237,1.1085540206116677,1.1436459190715154,0.12560349027270293,995
transformer_add113_f0.3_wd0.1_stride1_s1,transformer_add113_f0.3_wd0.1_stride1,1,20,57,57,1.1516126318474076,1.206981553444238,0.17148692360177034,3980
transformer_add113_f0.3_wd0.1_stride1_s1,transformer_add113_f0.3_wd0.1_stride1,1,40,27,27,1.2785591907977667,1.21944529430049,0.1799550134197454,7960
transformer_add113_f0.3_wd0.1_stride1_s1,transformer_add113_f0.3_wd0.1_stride1,1,60,17,17,1.2832967360202934,1.2704682427665681,0.21288862929591792,11940
transformer_add113_f0.3_wd0.1_stride1_s1,transformer_add113_f0.3_wd0.1_stride1,1,100,9,9,1.3803990449349355,1.360471875651329,0.2649609169456386,19900
transformer_add113_f0.3_wd0.1_stride1_s2,transformer_add113_f0.3_wd0.1_stride1,1,1,1197,1197,1.0354841845944731,1.0587335282808124,0.05547526994463359,199
transformer_add113_f0.3_wd0.1_stride1_s2,transformer_add113_f0.3_wd0.1_stride1,1,5,237,237,1.090334836781219,1.130661815579527,0.11556224308552906,995
transformer_add113_f0.3_wd0.1_stride1_s2,transformer_add113_f0.3_wd0.1_stride1,1,20,57,57,1.1347491807187116,1.1870721613856583,0.1575912294727649,3980
transformer_add113_f0.3_wd0.1_stride1_s2,transformer_add113_f0.3_wd0.1_stride1,1,40,27,27,1.221094686278892,1.2133852575033026,0.1758594446271504,7960
transformer_add113_f0.3_wd0.1_stride1_s2,transformer_add113_f0.3_wd0.1_stride1,1,60,17,17,1.271499754963254,1.271499754963254,0.21352717836040813,11940
transformer_add113_f0.3_wd0.1_stride1_s2,transformer_add113_f0.3_wd0.1_stride1,1,100,9,9,1.3901407023111867,1.3857967760799068,0.2783934720726045,19900
transformer_add113_f0.3_wd0.1_stride1_s3,transformer_add113_f0.3_wd0.1_stride1,1,1,1197,1197,1.0339621729728747,1.0601609353255759,0.056746983708752245,199
transformer_add113_f0.3_wd0.1_stride1_s3,transformer_add113_f0.3_wd0.1_stride1,1,5,237,237,1.0963936652962283,1.1304973794719761,0.11543359749575702,995
transformer_add113_f0.3_wd0.1_stride1_s3,transformer_add113_f0.3_wd0.1_stride1,1,20,57,57,1.1411503877662965,1.1828791383306947,0.15460509227407443,3980
transformer_add113_f0.3_wd0.1_stride1_s3,transformer_add113_f0.3_wd0.1_stride1,1,40,27,27,1.2030145273576698,1.1811182082419516,0.15334469232469042,7960
transformer_add113_f0.3_wd0.1_stride1_s3,transformer_add113_f0.3_wd0.1_stride1,1,60,17,17,1.2081687697981143,1.233804175493507,0.1894986093720976,11940
transformer_add113_f0.3_wd0.1_stride1_s3,transformer_add113_f0.3_wd0.1_stride1,1,100,9,9,1.3927214425123788,1.3863223134833065,0.278667024057792,19900
transformer_add113_f0.3_wd0.1_stride1_s4,transformer_add113_f0.3_wd0.1_stride1,1,1,1197,1197,1.0746024080089325,1.0601346394176843,0.05672358696883563,199
transformer_add113_f0.3_wd0.1_stride1_s4,transformer_add113_f0.3_wd0.1_stride1,1,5,237,237,1.2027501288844527,1.1265882525282775,0.11236425752193813,995
transformer_add113_f0.3_wd0.1_stride1_s4,transformer_add113_f0.3_wd0.1_stride1,1,20,57,57,1.2467280493176707,1.1933137210758318,0.1619974007351141,3980
transformer_add113_f0.3_wd0.1_stride1_s4,transformer_add113_f0.3_wd0.1_stride1,1,40,27,27,1.2415336333083247,1.2263123181359534,0.18454704791676368,7960
transformer_add113_f0.3_wd0.1_stride1_s4,transformer_add113_f0.3_wd0.1_stride1,1,60,17,17,1.2605658172750185,1.274183004265609,0.21518337895555106,11940
transformer_add113_f0.3_wd0.1_stride1_s4,transformer_add113_f0.3_wd0.1_stride1,1,100,9,9,1.3971448227838394,1.3996559680955136,0.28553871608843856,19900
transformer_add97_f0.2_wd1.0_stride1_s0,transformer_add97_f0.2_wd1.0_stride1,1,1,1197,1197,1.0282651076187967,1.0365615900875569,0.035271990045925454,199
transformer_add97_f0.2_wd1.0_stride1_s0,transformer_add97_f0.2_wd1.0_stride1,1,5,237,237,1.0605508748237025,1.066836058342214,0.0626488557633424,995
transformer_add97_f0.2_wd1.0_stride1_s0,transformer_add97_f0.2_wd1.0_stride1,1,20,57,57,1.1159019688188552,1.1205475723569513,0.10757916516064775,3980
transformer_add97_f0.2_wd1.0_stride1_s0,transformer_add97_f0.2_wd1.0_stride1,1,40,27,27,1.1867608859658643,1.2033837551404072,0.1690098892158279,7960
transformer_add97_f0.2_wd1.0_stride1_s0,transformer_add97_f0.2_wd1.0_stride1,1,60,17,17,1.314573782079934,1.3052387205113587,0.23385662386093936,11940
transformer_add97_f0.2_wd1.0_stride1_s0,transformer_add97_f0.2_wd1.0_stride1,1,100,9,9,1.5238207501520464,1.4917215822673324,0.3296336180374514,19900
transformer_add97_f0.2_wd1.0_stride1_s1,transformer_add97_f0.2_wd1.0_stride1,1,1,1197,1197,1.031961817623057,1.0362289197623853,0.03496227433093913,199
transformer_add97_f0.2_wd1.0_stride1_s1,transformer_add97_f0.2_wd1.0_stride1,1,5,237,237,1.0723164615716037,1.0630057158051112,0.05927128600375521,995
transformer_add97_f0.2_wd1.0_stride1_s1,transformer_add97_f0.2_wd1.0_stride1,1,20,57,57,1.0892208083929626,1.105431438555547,0.09537582782457571,3980
transformer_add97_f0.2_wd1.0_stride1_s1,transformer_add97_f0.2_wd1.0_stride1,1,40,27,27,1.2200011028140187,1.2017981491468193,0.1679135130055574,7960
transformer_add97_f0.2_wd1.0_stride1_s1,transformer_add97_f0.2_wd1.0_stride1,1,60,17,17,1.3062672735109897,1.28958119219003,0.22455444755537177,11940
transformer_add97_f0.2_wd1.0_stride1_s1,transformer_add97_f0.2_wd1.0_stride1,1,100,9,9,1.4874990619846775,1.5087660024058347,0.33720669845063517,19900
transformer_add97_f0.2_wd1.0_stride1_s2,transformer_add97_f0.2_wd1.0_stride1,1,1,1197,1197,1.0356904174119865,1.0373347597140148,0.03599104277996795,199
transformer_add97_f0.2_wd1.0_stride1_s2,transformer_add97_f0.2_wd1.0_stride1,1,5,237,237,1.0542535129890658,1.0674589719485024,0.06319584519990046,995
transformer_add97_f0.2_wd1.0_stride1_s2,transformer_add97_f0.2_wd1.0_stride1,1,20,57,57,1.1142947851784877,1.1206941124341265,0.10769585660799198,3980
transformer_add97_f0.2_wd1.0_stride1_s2,transformer_add97_f0.2_wd1.0_stride1,1,40,27,27,1.2170597247298989,1.2057054952993007,0.17061006697015754,7960
transformer_add97_f0.2_wd1.0_stride1_s2,transformer_add97_f0.2_wd1.0_stride1,1,60,17,17,1.3031440521442945,1.2944995757006346,0.22750071242104478,11940
transformer_add97_f0.2_wd1.0_stride1_s2,transformer_add97_f0.2_wd1.0_stride1,1,100,9,9,1.5312282902027177,1.5103092654356882,0.33788395338253857,19900
transformer_add97_f0.2_wd1.0_stride1_s3,transformer_add97_f0.2_wd1.0_stride1,1,1,1197,1197,1.0292201761355277,1.0360130322778875,0.03476117689244268,199
transformer_add97_f0.2_wd1.0_stride1_s3,transformer_add97_f0.2_wd1.0_stride1,1,5,237,237,1.0691160642369533,1.0643815982819593,0.060487327464021266,995
transformer_add97_f0.2_wd1.0_stride1_s3,transformer_add97_f0.2_wd1.0_stride1,1,20,57,57,1.1300279290098427,1.1186931117796908,0.10609979674485165,3980
transformer_add97_f0.2_wd1.0_stride1_s3,transformer_add97_f0.2_wd1.0_stride1,1,40,27,27,1.1877395209482118,1.2086557449919473,0.17263455359932747,7960
transformer_add97_f0.2_wd1.0_stride1_s3,transformer_add97_f0.2_wd1.0_stride1,1,60,17,17,1.3177099117885882,1.3050667616866543,0.23375567491458393,11940
transformer_add97_f0.2_wd1.0_stride1_s3,transformer_add97_f0.2_wd1.0_stride1,1,100,9,9,1.4929099065529516,1.5218014694346254,0.3428840620245184,19900
transformer_add97_f0.2_wd1.0_stride1_s4,transformer_add97_f0.2_wd1.0_stride1,1,1,1197,1197,1.029402508843702,1.0373601087221846,0.0360145993739865,199
transformer_add97_f0.2_wd1.0_stride1_s4,transformer_add97_f0.2_wd1.0_stride1,1,5,237,237,1.0593392193379265,1.0667541653728858,0.06257689685191137,995
transformer_add97_f0.2_wd1.0_stride1_s4,transformer_add97_f0.2_wd1.0_stride1,1,20,57,57,1.1025062774557028,1.1099945961727202,0.0990947132103016,3980
transformer_add97_f0.2_wd1.0_stride1_s4,transformer_add97_f0.2_wd1.0_stride1,1,40,27,27,1.1966266504327054,1.1964753661494063,0.16421179383050663,7960
transformer_add97_f0.2_wd1.0_stride1_s4,transformer_add97_f0.2_wd1.0_stride1,1,60,17,17,1.2536333097652015,1.2664191216805414,0.21037199859001063,11940
transformer_add97_f0.2_wd1.0_stride1_s4,transformer_add97_f0.2_wd1.0_stride1,1,100,9,9,1.4625749302705817,1.4652604076357623,0.3175274546498343,19900
transformer_add97_f0.3_wd0.0_stablemax_stride1_s0,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,1,797,797,2.67073596138769,3.326334510375648,0.6993687805959514,199
transformer_add97_f0.3_wd0.0_stablemax_stride1_s0,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,5,157,157,1.9489441073344798,2.1600498734174916,0.5370477263944538,995
transformer_add97_f0.3_wd0.0_stablemax_stride1_s0,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,20,37,37,4.501085080596014,2.6203959045725216,0.6183782770172147,3980
transformer_add97_f0.3_wd0.0_stablemax_stride1_s0,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,40,17,17,4.3047423787721515,2.2336569827045167,0.5523036850585725,7960
transformer_add97_f0.3_wd0.0_stablemax_stride1_s0,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,60,10,10,3.0695558116686925,1.8662672894749206,0.4629023957523236,11940
transformer_add97_f0.3_wd0.0_stablemax_stride1_s0,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,100,5,5,2.070533227120261,1.5741637378551043,0.36474206846959767,19900
transformer_add97_f0.3_wd0.0_stablemax_stride1_s1,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,1,797,0,,,,199
transformer_add97_f0.3_wd0.0_stablemax_stride1_s1,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,5,157,0,,,,995
transformer_add97_f0.3_wd0.0_stablemax_stride1_s1,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,20,37,0,,,,3980
transformer_add97_f0.3_wd0.0_stablemax_stride1_s1,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,40,17,0,,,,7960
transformer_add97_f0.3_wd0.0_stablemax_stride1_s1,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,60,10,0,,,,11940
transformer_add97_f0.3_wd0.0_stablemax_stride1_s1,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,100,5,0,,,,19900
transformer_add97_f0.3_wd0.0_stablemax_stride1_s2,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,1,797,0,,,,199
transformer_add97_f0.3_wd0.0_stablemax_stride1_s2,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,5,157,0,,,,995
transformer_add97_f0.3_wd0.0_stablemax_stride1_s2,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,20,37,0,,,,3980
transformer_add97_f0.3_wd0.0_stablemax_stride1_s2,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,40,17,0,,,,7960
transformer_add97_f0.3_wd0.0_stablemax_stride1_s2,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,60,10,0,,,,11940
transformer_add97_f0.3_wd0.0_stablemax_stride1_s2,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,100,5,0,,,,19900
transformer_add97_f0.3_wd0.0_stablemax_stride1_s3,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,1,797,797,3.2882295464758253,4.0835042238295705,0.7551122895467008,199
transformer_add97_f0.3_wd0.0_stablemax_stride1_s3,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,5,157,157,2.1980324754912686,2.2497544333822934,0.5555070432746767,995
transformer_add97_f0.3_wd0.0_stablemax_stride1_s3,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,20,37,37,3.750392540239346,2.4251318764723835,0.5876512903477199,3980
transformer_add97_f0.3_wd0.0_stablemax_stride1_s3,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,40,17,17,2.9504061809248787,2.0937144666118903,0.5223799539302849,7960
transformer_add97_f0.3_wd0.0_stablemax_stride1_s3,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,60,10,10,2.219992722345908,1.7771007354520878,0.4370595419107316,11940
transformer_add97_f0.3_wd0.0_stablemax_stride1_s3,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,100,5,5,1.7046183586807433,1.474783218651524,0.3219342427056124,19900
transformer_add97_f0.3_wd0.0_stablemax_stride1_s4,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,1,797,797,2.226175369742337,3.1334671803790584,0.6808646963779499,199
transformer_add97_f0.3_wd0.0_stablemax_stride1_s4,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,5,157,157,2.0043147657840343,2.092648355154979,0.5221366277154857,995
transformer_add97_f0.3_wd0.0_stablemax_stride1_s4,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,20,37,37,3.114796566045485,2.822786899424134,0.6457401725209911,3980
transformer_add97_f0.3_wd0.0_stablemax_stride1_s4,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,40,17,17,3.4607951668470975,2.6551621013279885,0.6233751605975972,7960
transformer_add97_f0.3_wd0.0_stablemax_stride1_s4,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,60,10,10,2.9804657000350003,2.2507536828782135,0.5542177944369513,11940
transformer_add97_f0.3_wd0.0_stablemax_stride1_s4,transformer_add97_f0.3_wd0.0_stablemax_stride1,1,100,5,5,2.3176011292882888,1.8381929578487797,0.4559874708853792,19900
transformer_add97_f0.4_wd0.0_ortho_stride1_s0,transformer_add97_f0.4_wd0.0_ortho_stride1,1,1,397,396,1.0331205481481602,1.19092903665066,0.16031813729562877,199
transformer_add97_f0.4_wd0.0_ortho_stride1_s0,transformer_add97_f0.4_wd0.0_ortho_stride1,1,5,77,77,1.0264225917295997,1.2580142190261314,0.20509642508323025,995
transformer_add97_f0.4_wd0.0_ortho_stride1_s0,transformer_add97_f0.4_wd0.0_ortho_stride1,1,20,17,17,1.6945632108846682,1.4290176889512691,0.30021859929957745,3980
transformer_add97_f0.4_wd0.0_ortho_stride1_s0,transformer_add97_f0.4_wd0.0_ortho_stride1,1,40,7,7,1.5648683538877879,1.4105213626289628,0.2910422865654607,7960
transformer_add97_f0.4_wd0.0_ortho_stride1_s0,transformer_add97_f0.4_wd0.0_ortho_stride1,1,60,3,3,1.5366410776089143,1.2592052070024913,0.2058482648904567,11940
transformer_add97_f0.4_wd0.0_ortho_stride1_s0,transformer_add97_f0.4_wd0.0_ortho_stride1,1,100,1,1,1.293537982599309,1.293537982599309,0.2269264502070955,19900
transformer_add97_f0.4_wd0.0_ortho_stride1_s1,transformer_add97_f0.4_wd0.0_ortho_stride1,1,1,397,397,1.2450473198682335,1.2054410028406135,0.1704280859506961,199
transformer_add97_f0.4_wd0.0_ortho_stride1_s1,transformer_add97_f0.4_wd0.0_ortho_stride1,1,5,77,77,1.145205711893781,1.1326017010554357,0.11707708096488674,995
transformer_add97_f0.4_wd0.0_ortho_stride1_s1,transformer_add97_f0.4_wd0.0_ortho_stride1,1,20,17,17,1.056950151812471,1.0541800573734577,0.051395448998010754,3980
transformer_add97_f0.4_wd0.0_ortho_stride1_s1,transformer_add97_f0.4_wd0.0_ortho_stride1,1,40,7,7,1.0367063305796735,1.0399434752826684,0.03840927534240391,7960
transformer_add97_f0.4_wd0.0_ortho_stride1_s1,transformer_add97_f0.4_wd0.0_ortho_stride1,1,60,3,3,1.040900344360338,1.061599534607818,0.05802520875310522,11940
transformer_add97_f0.4_wd0.0_ortho_stride1_s1,transformer_add97_f0.4_wd0.0_ortho_stride1,1,100,1,1,1.187696833437262,1.187696833437262,0.1580342964239928,19900
transformer_add97_f0.4_wd0.0_ortho_stride1_s2,transformer_add97_f0.4_wd0.0_ortho_stride1,1,1,397,397,1.1011853014114508,1.0892407834833853,0.08192934458255767,199
transformer_add97_f0.4_wd0.0_ortho_stride1_s2,transformer_add97_f0.4_wd0.0_ortho_stride1,1,5,77,77,1.0470556371817255,1.0438023685182942,0.041964235605704656,995
transformer_add97_f0.4_wd0.0_ortho_stride1_s2,transformer_add97_f0.4_wd0.0_ortho_stride1,1,20,17,17,1.0346322051038952,1.0348796645614824,0.03370407763907709,3980
transformer_add97_f0.4_wd0.0_ortho_stride1_s2,transformer_add97_f0.4_wd0.0_ortho_stride1,1,40,7,7,1.0314096893002795,1.0436304611243858,0.04180642741816804,7960
transformer_add97_f0.4_wd0.0_ortho_stride1_s2,transformer_add97_f0.4_wd0.0_ortho_stride1,1,60,3,3,1.0383576503594212,1.0633557317209374,0.059580937809403135,11940
transformer_add97_f0.4_wd0.0_ortho_stride1_s2,transformer_add97_f0.4_wd0.0_ortho_stride1,1,100,1,1,1.4764167440136073,1.4764167440136073,0.3226844628695274,19900
transformer_add97_f0.4_wd0.0_ortho_stride1_s3,transformer_add97_f0.4_wd0.0_ortho_stride1,1,1,397,396,1.2199704285005473,1.10826965246721,0.09769235232991287,199
