condition,rank,n,operation,collapse,ratio,excess
mlp add p97 f0.3 wd0.0 stablemax_ce,1,2,add,0.1251825480269118,9.072456640489218,1.6403833502477672
transformer compose p120 f0.6 wd1.0 softmax_ce,2,7,compose,0.5777940021962388,2.8930532977342396,1.4958843275140512
transformer add p97 f0.4 wd0.0 softmax_ce,3,3,add,0.9236471039695884,0.9910888861383316,1.087135042328522
transformer sub p97 f0.4 wd1.0 softmax_ce,4,2,sub,0.5219413970918529,1.9007762851548582,0.8648652295113027
mlp add p97 f0.4 wd0.0 softmax_ce,5,3,add,0.9530850573351244,0.9795946568455159,0.7499313457262216
transformer sub p97 f0.5 wd1.0 softmax_ce,6,2,sub,0.4538916581241904,1.9677180160340404,0.6997063596348166
transformer add p97 f0.3 wd1.0 softmax_ce,7,5,add,0.8737680882299416,1.0854264170867567,0.6967526436850768
transformer add p113 f0.3 wd1.0 softmax_ce,8,5,add,0.6858884628938295,1.2007771288142552,0.5789275492301658
transformer add p97 f0.4 wd0.0 stablemax_ce,9,1,add,0.8935493750055893,0.9883500229040859,0.5642055810203016
transformer add p97 f0.3 wd0.1 softmax_ce,10,3,add,0.9811484288249768,0.8613201047402105,0.4456957584010039
transformer add p113 f0.3 wd0.1 softmax_ce,11,5,add,0.2480933499767455,2.899287092566698,0.3783491129852453
transformer add p97 f0.4 wd1.0 softmax_ce,12,5,add,0.7038937726298508,1.2603312988499946,0.36939091826196185
transformer add p97 f0.5 wd1.0 softmax_ce,13,5,add,0.5389548381969376,1.3378369108325037,0.13154817269709454
transformer add p149 f0.3 wd1.0 softmax_ce,14,5,add,0.5375983447841964,1.386530542843953,0.12286421226055315
transformer compose p120 f0.5 wd1.0 softmax_ce,15,2,compose,0.5565376874245374,1.3805089564500093,0.0877713703956033
transformer add p97 f0.3 wd0.3 softmax_ce,16,5,add,0.8283540493453373,0.8447014054271509,0.026250573600376692
mlp add p97 f0.3 wd1.0 softmax_ce,17,5,add,0.1443527530303095,3.2967092504735738,-0.6135180632455418
transformer div p97 f0.5 wd1.0 softmax_ce,18,5,div,0.4372638565785189,1.175026501972885,-0.885621043777617
transformer add p97 f0.3 wd3.0 softmax_ce,19,5,add,1.4440147804179688,0.33021899087428247,-1.5386460519697573
transformer mul p97 f0.5 wd1.0 softmax_ce,20,5,mul,0.4023366222629311,0.8840567697320144,-2.0307784035626195
