condition,n_seeds,n_located_proxy,n_located_changepoint,median_lag_proxy,median_lag_changepoint,n_lagging_proxy,n_lagging_changepoint
mlp add97 f0.3 wd0 lr0.001 ortho,3,3,3,-1624.0,234.0,3,0
mlp add97 f0.3 wd0 lr0.001 stablemax ortho,2,2,2,-838.5,-12543.0,2,1
mlp add97 f0.3 wd1 lr0.001,5,5,5,-3964.0,-1466.0,5,3
mlp add97 f0.4 wd0 lr0.01 ortho,3,3,3,749.0,817.0,0,0
transformer add113 f0.3 wd0.1 lr0.003,5,5,5,-2126.0,-109.0,5,3
transformer add113 f0.3 wd1 lr0.001,5,5,4,-11632.0,-20592.0,5,4
transformer add149 f0.3 wd1 lr0.001,5,5,4,-2994.0,1007.5,4,2
transformer add97 f0.3 wd0.1 lr0.001,3,3,2,104046.0,105540.5,0,0
transformer add97 f0.3 wd0.3 lr0.001,5,5,5,29187.0,26859.0,0,0
transformer add97 f0.3 wd1 lr0.001,5,5,4,7601.0,-5863.0,1,3
transformer add97 f0.3 wd3 lr0.001,5,5,1,-48379.0,-56300.0,5,1
transformer add97 f0.4 wd0 lr0.01 ortho,3,3,3,1944.0,-3530.0,0,2
transformer add97 f0.4 wd0 lr0.01 stablemax,1,1,1,37875.0,37978.0,0,0
transformer add97 f0.4 wd1 lr0.001,5,5,3,-4166.0,-14027.0,5,3
transformer add97 f0.5 wd1 lr0.001,5,5,4,-8792.0,-6221.5,5,4
transformer compose120 f0.5 wd1 lr0.001,2,2,1,6670.0,-5916.0,0,1
transformer compose120 f0.6 wd1 lr0.001,17,17,12,-2810.0,-886.0,16,10
transformer div97 f0.5 wd1 lr0.001,5,5,5,-5466.0,-4466.0,5,5
transformer mul97 f0.5 wd1 lr0.001,5,5,1,-26430.0,-9794.0,5,1
transformer sub97 f0.4 wd1 lr0.001,2,2,2,7991.5,-1929.0,1,1
transformer sub97 f0.5 wd1 lr0.001,2,2,2,-47869.5,-50435.0,2,2
