amplitude,location,draw,run,true_step,found_step,error,relative_error
1.0,0.2,0,transformer_add97_permuted_s3,12000.0,,,
1.0,0.2,1,transformer_add97_permuted_s1,12000.0,18264.0,6264.0,0.522
1.0,0.2,2,transformer_add97_permuted_s0,12000.0,4791.0,-7209.0,-0.60075
1.0,0.2,3,transformer_add97_permuted_dense_s2,8000.0,12323.0,4323.0,0.540375
1.0,0.2,4,transformer_add97_permuted_dense_s3,8000.0,4703.0,-3297.0,-0.412125
1.0,0.2,5,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,6,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,7,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,8,transformer_add97_permuted_dense_s1,8000.0,8031.0,31.0,0.003875
1.0,0.2,9,transformer_add97_permuted_s3,12000.0,,,
1.0,0.2,10,transformer_add97_permuted_s1,12000.0,18264.0,6264.0,0.522
1.0,0.2,11,transformer_add97_permuted_s4,12000.0,38410.0,26410.0,2.200833333333333
1.0,0.2,12,transformer_add97_permuted_s0,12000.0,4791.0,-7209.0,-0.60075
1.0,0.2,13,transformer_add97_permuted_s1,12000.0,18264.0,6264.0,0.522
1.0,0.2,14,transformer_add97_permuted_s4,12000.0,38410.0,26410.0,2.200833333333333
1.0,0.2,15,transformer_add97_permuted_s2,12000.0,16955.0,4955.0,0.41291666666666665
1.0,0.2,16,transformer_add97_permuted_s1,12000.0,18264.0,6264.0,0.522
1.0,0.2,17,transformer_add97_permuted_s0,12000.0,4791.0,-7209.0,-0.60075
1.0,0.2,18,transformer_add97_permuted_s0,12000.0,4791.0,-7209.0,-0.60075
1.0,0.2,19,transformer_add97_permuted_s4,12000.0,38410.0,26410.0,2.200833333333333
1.0,0.2,20,transformer_add97_permuted_dense_s2,8000.0,12323.0,4323.0,0.540375
1.0,0.2,21,transformer_add97_permuted_s3,12000.0,,,
1.0,0.2,22,transformer_add97_permuted_s1,12000.0,18264.0,6264.0,0.522
1.0,0.2,23,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,24,transformer_add97_permuted_dense_s3,8000.0,4703.0,-3297.0,-0.412125
1.0,0.2,25,transformer_add97_permuted_s3,12000.0,,,
1.0,0.2,26,transformer_add97_permuted_s0,12000.0,4791.0,-7209.0,-0.60075
1.0,0.2,27,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,28,transformer_add97_permuted_s2,12000.0,16955.0,4955.0,0.41291666666666665
1.0,0.2,29,transformer_add97_permuted_s2,12000.0,16955.0,4955.0,0.41291666666666665
1.0,0.2,30,transformer_add97_permuted_s3,12000.0,,,
1.0,0.2,31,transformer_add97_permuted_dense_s1,8000.0,8031.0,31.0,0.003875
1.0,0.2,32,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,33,transformer_add97_permuted_s3,12000.0,,,
1.0,0.2,34,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,35,transformer_add97_permuted_s0,12000.0,4791.0,-7209.0,-0.60075
1.0,0.2,36,transformer_add97_permuted_dense_s0,8000.0,3796.0,-4204.0,-0.5255
1.0,0.2,37,transformer_add97_permuted_dense_s2,8000.0,12323.0,4323.0,0.540375
1.0,0.2,38,transformer_add97_permuted_dense_s4,8000.0,4458.0,-3542.0,-0.44275
1.0,0.2,39,transformer_add97_permuted_dense_s4,8000.0,4458.0,-3542.0,-0.44275
1.0,0.35,0,transformer_add97_permuted_dense_s4,14000.0,4458.0,-9542.0,-0.6815714285714286
1.0,0.35,1,transformer_add97_permuted_dense_s0,14000.0,3796.0,-10204.0,-0.7288571428571429
1.0,0.35,2,transformer_add97_permuted_dense_s0,14000.0,3796.0,-10204.0,-0.7288571428571429
1.0,0.35,3,transformer_add97_permuted_dense_s1,14000.0,8031.0,-5969.0,-0.4263571428571429
1.0,0.35,4,transformer_add97_permuted_dense_s0,14000.0,3796.0,-10204.0,-0.7288571428571429
1.0,0.35,5,transformer_add97_permuted_s1,21000.0,18264.0,-2736.0,-0.13028571428571428
1.0,0.35,6,transformer_add97_permuted_s0,21000.0,4791.0,-16209.0,-0.7718571428571429
1.0,0.35,7,transformer_add97_permuted_s1,21000.0,18264.0,-2736.0,-0.13028571428571428
1.0,0.35,8,transformer_add97_permuted_dense_s2,14000.0,12323.0,-1677.0,-0.11978571428571429
1.0,0.35,9,transformer_add97_permuted_s1,21000.0,18264.0,-2736.0,-0.13028571428571428
1.0,0.35,10,transformer_add97_permuted_s2,21000.0,16955.0,-4045.0,-0.1926190476190476
1.0,0.35,11,transformer_add97_permuted_dense_s3,14000.0,4703.0,-9297.0,-0.6640714285714285
1.0,0.35,12,transformer_add97_permuted_dense_s4,14000.0,4458.0,-9542.0,-0.6815714285714286
1.0,0.35,13,transformer_add97_permuted_s4,21000.0,38410.0,17410.0,0.829047619047619
1.0,0.35,14,transformer_add97_permuted_s3,21000.0,,,
1.0,0.35,15,transformer_add97_permuted_s4,21000.0,38410.0,17410.0,0.829047619047619
1.0,0.35,16,transformer_add97_permuted_dense_s3,14000.0,4703.0,-9297.0,-0.6640714285714285
1.0,0.35,17,transformer_add97_permuted_s1,21000.0,18264.0,-2736.0,-0.13028571428571428
