model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n,grokked,bars,dom_base,dom_plat,dom_ratio,share_ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,3,2,108.0,1.5497509639309874,4.519572373896355,2.8816315970722055,2.384702804704345
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,285.0,1.6147182337260482,3.20115350413151,1.9824842732745256,0.9444370040919554
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,296.0,1.60299407304674,1.7430525524478235,1.0873730488191267,0.27156824571970145
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,3,180.0,1.665409437600873,1.7404582868160707,1.0869855642233308,0.8813599559436063
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,0,85.0,1.6843010382422685,1.8255672082584444,1.0836521461342523,1.3128190884209705
transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,5,0,56.5,1.6579795834100222,1.7718475570867183,1.0756940839415499,0.9719991281595083
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,5,25.0,1.6972246830094737,1.7063264571337664,1.0688158646248513,3.2673543016781093
transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,0.3,2,0,46.0,1.6935540679106766,1.7780101947694067,1.0506763301180573,0.9236059826231278
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,0,86.5,1.6731636220108503,1.7025965820432205,1.0297528229167126,1.0196998350727815
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,0,211.0,1.5183263673115774,1.5788296125383925,1.0296249209742911,1.0018566740559534
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,239.5,1.6721401448307125,1.6697500359270196,1.0267425027891277,0.5599641610143661
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,2,198.25,1.7708477532903637,1.8022935059486067,1.0193869240775923,0.5109804893399121
transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,0.3,2,0,33.0,1.6823294987155335,1.708843937257604,1.0161836809932858,1.6460266794159621
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,3,79.0,1.6231201243939446,1.7640085104090921,1.0124315578514194,1.0021313095467586
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,5,165.0,1.6942231736319096,1.6545691615194276,1.007344935013973,0.5965991400051155
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,162.5,1.6538714911371235,1.637828086445464,0.9985083580909468,0.5713353167167279
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,0,104.5,1.8730981278369796,2.0664304778277165,0.9956497824840408,1.0416542477716555
transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,0,39.0,1.6158595796891362,1.641963055738538,0.9796759707281592,0.9998944939245045
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,0,62.5,1.7670244328295306,1.699683053138608,0.9774213441674506,0.9879146232948973
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,3,208.0,1.6985838664175839,1.5913361464925118,0.9601271821929678,0.9116277078548047
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,5,220.0,1.6612718453374247,1.6007478111255526,0.9510841320348131,0.21718692747673746
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,5,188.5,1.6851656684405563,1.5778772062547206,0.9433191231018893,0.6073137799301616
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,173.5,1.628079099254498,1.5433767271993295,0.9281088319967753,0.4650408588396351
transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,1.0,2,0,55.5,1.7645038194651057,1.6202668656512436,0.9204807662023842,0.7649171413775494
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,365.0,1.769965155972776,1.6386801302755172,0.9162131394977165,0.43560323315009614
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,151.0,1.8004457022097733,1.7134565230928145,0.9140272209090973,0.6072344089064122
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,5,1,0.0,1.6221724538178826,1.4601049788645848,0.900092327069257,0.6171612604331751
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,2,313.0,1.7250580477886017,1.4174825462007465,0.8210173876745439,0.2760894023537769
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,2,265.5,1.7995670764744036,1.4719326859599513,0.8173209311503477,0.21258294360986815
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,7,7,419.5,1.7121208327515083,1.3990341902526775,0.7658026371546248,0.16834697008505753
