step,train_acc,test_acc,run,t_c,t_g,test_acc_novel
0,0.00991852581501007,0.0103249317035079,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,0.0100305275991559
1,,,,,,0.0093763628974556
2,,,,,,0.009158307686448
3,,,,,,0.0098124723881483
4,,,,,,0.0080680334940552
5,,,,,,0.0080680334940552
6,,,,,,0.0074138683266937
7,,,,,,0.0065416484139859
8,,,,,,0.0058874837122857
9,,,,,,0.0074138683266937
10,,,,,,0.0043610990978777
11,,,,,,0.0034888791851699
12,,,,,,0.0039249891415238
13,,,,,,0.0021805495489388
14,,,,,,0.0017444395925849
15,,,,,,0.0008722197962924
16,,,,,,0.0010902747744694
18,,,,,,0.0008722197962924
19,,,,,,0.0008722197962924
20,,,,,,0.0
22,,,,,,0.0002180549490731
23,,,,,,0.0002180549490731
25,,,,,,0.0004361098981462
27,,,,,,0.0004361098981462
29,,,,,,0.0004361098981462
31,,,,,,0.0004361098981462
33,,,,,,0.0004361098981462
36,,,,,,0.0004361098981462
39,,,,,,0.0004361098981462
41,,,,,,0.0004361098981462
44,,,,,,0.0004361098981462
48,,,,,,0.0004361098981462
51,,,,,,0.0004361098981462
55,,,,,,0.0004361098981462
59,,,,,,0.0002180549490731
64,,,,,,0.0
68,,,,,,0.0
73,,,,,,0.0
79,,,,,,0.0
85,,,,,,0.0
91,,,,,,0.0
98,,,,,,0.0
100,0.8150902986526489,0.215457022190094,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
105,,,,,,0.0
113,,,,,,0.0
121,,,,,,0.0004361098981462
130,,,,,,0.0004361098981462
140,,,,,,0.0006541648763231
150,,,,,,0.0013083297526463
161,,,,,,0.0017444395925849
173,,,,,,0.0013083297526463
186,,,,,,0.0017444395925849
200,0.9943322539329529,0.2995748519897461,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,0.0013083297526463
215,,,,,,0.001526384614408
231,,,,,,0.0021805495489388
248,,,,,,0.0021805495489388
266,,,,,,0.0026166595052927
286,,,,,,0.002834714250639
300,0.9992915391921997,0.3024597764015198,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
307,,,,,,0.0026166595052927
330,,,,,,0.003052769228816
355,,,,,,0.0023986045271158
381,,,,,,0.0017444395925849
400,1.0,0.302763432264328,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
409,,,,,,0.0017444395925849
440,,,,,,0.0023986045271158
472,,,,,,0.002834714250639
500,1.0,0.3042818009853363,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
507,,,,,,0.003052769228816
545,,,,,,0.0026166595052927
585,,,,,,0.002834714250639
600,1.0,0.3042818009853363,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
629,,,,,,0.002834714250639
676,,,,,,0.0026166595052927
700,1.0,0.3047373294830322,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
726,,,,,,0.0034888791851699
780,,,,,,0.0023986045271158
800,1.0,0.3039781451225281,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
837,,,,,,0.003052769228816
900,1.0,0.30534467101097107,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,0.0034888791851699
966,,,,,,0.0037069341633468
1000,1.0,0.3054965138435364,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1038,,,,,,0.0041430438868701
1100,1.0,0.30337077379226685,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1115,,,,,,0.0017444395925849
1198,,,,,,0.001526384614408
1200,1.0,0.3039781451225281,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1287,,,,,,0.0013083297526463
1300,0.9989373087882996,0.30352261662483215,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1382,,,,,,0.0017444395925849
1400,1.0,0.304129958152771,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1485,,,,,,0.0010902747744694
1500,1.0,0.30367445945739746,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1595,,,,,,0.0017444395925849
1600,1.0,0.3042818009853363,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1700,0.9996457695960999,0.3032189607620239,transformer_add97_f0.3_wd1.0_softmax_ce_s1,200.0,28600.0,
1713,,,,,,0.0008722197962924
