step,h1_max_persistence,h1_max_persistence_normalised,pointcloud_scale,test_acc,panel,run,t_g
0,0.8232250213623047,0.0538629471052848,15.283698081970217,0.0089505482465028,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
504,0.6310234069824219,0.0483847945286417,13.041770935058594,0.2985007762908935,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
1008,0.5435352325439453,0.0485738363425683,11.189876556396484,0.2992839515209198,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
1513,0.4646682739257812,0.0483811470017719,9.604325294494627,0.2996196150779724,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
2017,0.3945341110229492,0.0478556133543974,8.24425983428955,0.3007384240627289,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
2521,0.3086395263671875,0.0436392772103127,7.072516918182373,0.2993958294391632,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
3025,0.2401881217956543,0.0393360359575214,6.106058120727539,0.2987245321273803,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
3529,0.2136487960815429,0.0408737461801793,5.227042198181152,0.2993958294391632,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
4034,0.2137610912322998,0.0474443782862854,4.505509376525879,0.2993958294391632,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
4538,0.1837072372436523,0.047628611015558,3.8570773601531982,0.2992839515209198,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
5042,0.1714909076690673,0.0511672537543234,3.3515753746032715,0.2992839515209198,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
5546,0.1351714134216308,0.0473503157508973,2.85470986366272,0.2992839515209198,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
6050,0.1170523166656494,0.0462001578672191,2.5335912704467773,0.2995077073574066,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
6555,0.1222727298736572,0.0550138309878705,2.222581624984741,0.2993958294391632,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
7059,0.0897905826568603,0.0473351161294575,1.896912693977356,0.2999552488327026,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
7563,0.0918332338333129,0.0532863401775365,1.7233916521072388,0.2997314929962158,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
8067,0.070205807685852,0.0479223950936523,1.4649895429611206,0.3001790046691894,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
8571,0.0589798688888549,0.0428510207754598,1.3763935565948486,0.2999552488327026,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
9076,0.0506216287612915,0.0432629083204726,1.170093059539795,0.3009621798992157,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
9580,0.0422665476799011,0.0371163892164907,1.1387569904327393,0.3007384240627289,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
10084,0.0304456949234008,0.0317890724215604,0.9577409029006958,0.3024166524410248,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
10588,0.0350553393363952,0.0360432935521572,0.9725897908210754,0.3055493533611297,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
11092,0.0309140682220459,0.0371591530453981,0.8319368362426758,0.3049899339675903,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
11597,0.0177186727523803,0.0208013549325388,0.8518037796020508,0.3264712393283844,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
12101,0.044344425201416,0.0509017042016128,0.871177613735199,0.5616468787193298,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
12605,0.0333009958267211,0.0440042446487236,0.7567678093910217,0.6277690529823303,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
13109,0.0556411743164062,0.0756242987972507,0.7357578873634338,0.9982098937034608,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
13613,0.0596187710762023,0.0938022647879398,0.6355792284011841,0.9998881220817566,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
14118,0.0548509955406188,0.0787736353776738,0.6963115930557251,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
14622,0.0482692420482635,0.0836069303983726,0.5773354172706604,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
15126,0.0772311687469482,0.1182937962868286,0.6528759002685547,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
15630,0.0686126053333282,0.1269081783466118,0.5406476259231567,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
16134,0.0956161022186279,0.1424963211643508,0.671007513999939,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
16639,0.0710043907165527,0.1261885364290302,0.562684953212738,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
17143,0.1030411124229431,0.1561866470288549,0.6597306132316589,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
17647,0.0749659240245819,0.1388761201592727,0.5398042798042297,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
18151,0.1011511087417602,0.158190574715258,0.6394256353378296,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
18655,0.0825995802879333,0.1532035086020271,0.5391494035720825,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
19160,0.0887696743011474,0.1476753234699875,0.6011137962341309,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
19664,0.1036385893821716,0.14833941671848,0.6986584663391113,0.9975386261940002,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
20168,0.1070026755332946,0.1793733985650983,0.5965359210968018,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
20672,0.0998862981796264,0.146687291531685,0.6809471845626831,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
21176,0.0787875652313232,0.1327855300864348,0.593344509601593,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
21681,0.1003849506378173,0.1455906020072585,0.6895015835762024,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
22185,0.0909197926521301,0.1469846098817594,0.6185667514801025,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
22689,0.0932586193084716,0.1428224424625794,0.6529689431190491,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
23193,0.0655094981193542,0.1160032386045376,0.5647212862968445,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
23697,0.081453263759613,0.1266917579375008,0.6429247260093689,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
24202,0.0685218274593353,0.1244103361378913,0.5507727861404419,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
24706,0.0832518637180328,0.1315158877286758,0.6330175399780273,0.9998881220817566,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
25210,0.0532073676586151,0.0968490137836592,0.5493847131729126,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
25714,0.0846686661243438,0.1405346294334676,0.6024754643440247,0.9998881220817566,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
26218,0.0576336681842803,0.108149178886867,0.5329089760780334,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
26723,0.0758173167705535,0.1227299366051449,0.6177573204040527,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
27227,0.0619488656520843,0.1165832595991974,0.5313701629638672,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
27731,0.0919585227966308,0.1430421366683204,0.6428771615028381,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
28235,0.079382300376892,0.1477986412833288,0.5370976328849792,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
28739,0.0832128524780273,0.1311025146012223,0.6347159147262573,1.0,reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
