model,operation,modulus,train_fraction,weight_decay,label_permutation,loss,optimizer,lr,n_runs,n_grokked,t_g_median,circularity,scale_collapse,h1_max_persistence__lo,h1_max_persistence__med,h1_max_persistence__hi,h1_total_persistence__lo,h1_total_persistence__med,h1_total_persistence__hi,h1_max_persistence_normalised__lo,h1_max_persistence_normalised__med,h1_max_persistence_normalised__hi,h1_total_persistence_normalised__lo,h1_total_persistence_normalised__med,h1_total_persistence_normalised__hi,h0_total_persistence__lo,h0_total_persistence__med,h0_total_persistence__hi,lid__lo,lid__med,lid__hi,h1_max_persistence__verdict,h1_total_persistence__verdict,h1_max_persistence_normalised__verdict,h1_total_persistence_normalised__verdict,h0_total_persistence__verdict,lid__verdict,block,h1_max_persistence__null_lo,h1_max_persistence__null_hi,h1_total_persistence__null_lo,h1_total_persistence__null_hi,h1_max_persistence_normalised__null_lo,h1_max_persistence_normalised__null_hi,h1_total_persistence_normalised__null_lo,h1_total_persistence_normalised__null_hi,h0_total_persistence__null_lo,h0_total_persistence__null_hi,lid__null_lo,lid__null_hi
mlp,add,97.0,0.3,1.0,False,softmax_ce,adamw,0.001,5,5,12100.0,0.9876122590101613,7.501975825032115,1.2821082672382644,1.6519235707272861,2.141332290511389,0.3875335215491977,1.4690647147702873,4.195591831953272,2.3673131737644417,3.2967092504735738,4.370455262338772,0.8341317035765378,2.71179394570642,8.267078136760771,0.47680148252987625,0.5034081426577199,0.5505769102433865,1.7369036467029169,2.6241193930733777,3.0515626169218955,inside,inside,above,inside,below,above,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,113.0,0.3,0.1,False,softmax_ce,adamw,0.003,5,5,12000.0,0.7592647302298183,25.88883639240269,0.7001055366839773,1.4026492717446335,2.041051951171681,1.9480982962905895,6.863249401734347,15.318864946567928,2.197848441308226,2.899287092566698,5.768599048467296,6.478398286980889,14.808992637587519,37.6186270236315,0.2898449501933095,0.3579908900749746,0.48574269313191204,0.4573352070046939,0.5439257389740173,0.7494934778345208,inside,inside,above,above,below,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,compose,120.0,0.6,1.0,False,softmax_ce,adamw,0.001,17,17,35100.0,,167.78605647245968,0.5355746995636349,0.9364647850796288,1.7242241659677207,1.5510220485645896,4.562051431828045,12.942402175278975,1.3616604669616867,2.017811708442034,3.349068083949968,3.6045453565328156,9.068145533684937,23.608120561212107,0.5810253365941032,0.6132665626368219,0.6542773432120564,1.0840386160157545,1.3993139252972766,1.745052257382178,inside,inside,above,above,below,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,sub,97.0,0.5,1.0,False,softmax_ce,adamw,0.001,2,2,8150.0,0.6734092297314228,174.1672542217942,0.9301907314862858,1.050418393869243,1.1706460562522005,3.113935437659343,3.643433643467683,4.172931849276023,1.8062143243642526,1.9677180160340404,2.1292217077038282,5.946993236241444,7.3304264541402375,8.71385967203903,0.6010061453783176,0.6076736255007084,0.6143411056230991,1.1807503165144042,1.828718138636885,2.4766859607593656,inside,above,above,above,below,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,sub,97.0,0.4,1.0,False,softmax_ce,adamw,0.001,2,2,24800.0,0.4675166113994105,179.50947848748635,0.8095567731302085,1.233994657218651,1.6584325413070935,3.2010279088051687,6.317428980100708,9.433830051396248,1.5708598811231917,1.9007762851548582,2.2306926891865246,5.835858419194436,8.037504588290059,10.239150757385683,0.6232865460042978,0.7102102490180631,0.7971339520318285,0.8343832269505996,1.218084023707206,1.6017848204638123,inside,above,above,above,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,149.0,0.3,1.0,False,softmax_ce,adamw,0.001,5,5,9800.0,0.3399502150151722,159.09649307853462,0.7722425139392878,0.8828872426574955,1.086603602896041,1.4135293243965976,2.155327921674493,3.597159101658824,1.1766256140379059,1.386530542843953,1.52896512006388,2.270890056793438,2.5207648393621627,5.558949510149526,0.5480653305229779,0.6557174976969783,0.8273363316975849,0.845858675504348,1.0453785655329542,1.1706355870253813,inside,inside,inside,above,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,compose,120.0,0.5,1.0,False,softmax_ce,adamw,0.001,2,2,93300.0,,98.51554010704587,1.0274522478559405,1.1423377587993082,1.2572232697426762,2.288372496895532,3.4084874885610263,4.52860248022652,0.9861564710607793,1.3805089564500093,1.7748614418392394,1.5916111696380046,4.748371959816178,7.905132749994352,0.7663442240888838,1.0433648884527726,1.3203855528166617,1.1252533581571202,1.2976518053694661,1.470050252581812,inside,inside,inside,inside,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.5,1.0,False,softmax_ce,adamw,0.001,5,5,3000.0,0.3236254899966057,180.38123090201762,0.04127596235653978,0.07991027723671221,0.09370291677013835,0.07602072710647514,0.1497346598473766,0.2486223734998625,1.0048793765690027,1.3378369108325037,1.575463574237433,1.7223799361408512,2.3221398121243446,4.863997423499982,0.03401860745474048,0.04885299742139116,0.06515215984886863,0.8401684884756162,0.9493500384298796,1.319084986898603,below,below,inside,inside,below,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.4,1.0,False,softmax_ce,adamw,0.001,5,5,8800.0,0.3030454502706953,162.4236122312,0.21034431851503343,0.664789989321529,0.9233354872167703,0.416623380051536,1.4001713363970014,2.261936233670296,0.8323371464004539,1.2603312988499946,1.375050586739729,1.7552189017013347,2.610022689097712,3.046014288484369,0.15139128014963296,0.7241195704694432,0.8700485083371804,0.8119094063632909,1.2319185403687307,2.2225520520654953,inside,inside,inside,inside,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,113.0,0.3,1.0,False,softmax_ce,adamw,0.001,5,5,21500.0,0.3295196630070622,167.72304409478613,0.6797293826516251,0.8646777043721712,1.4016210001346991,1.1991239058694438,2.071164713954625,3.0232614155526885,0.9646976278673893,1.2007771288142552,1.5713693415826302,1.5963353250021957,2.6580073506262507,4.142316297128949,0.7032247823553255,0.7632109783036839,0.8604866729747503,0.8648346877569743,1.1736665590228426,1.279034190442059,inside,inside,inside,inside,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
