run,model,operation,modulus,train_fraction,weight_decay,seed,circularity,circularity_column,h1_max_persistence__ratio,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__ratio,test_acc__final
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,add,97,0.3,0.0,0,0.9980418537800546,fourier_concentration_k5,4.7867169046479505,7.36054027571698,2.4297275184182365,1.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,mlp,add,97,0.3,0.0,1,0.9954460859264616,fourier_concentration_k5,5.663795218019083,10.784373005261454,6.065672649829234,0.9996963143348694
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,add,97,0.3,1.0,0,0.9038182268415554,fourier_concentration_k5,1.6519235707272861,3.223276355543278,8.267078136760771,1.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,add,97,0.3,1.0,1,0.9902461924605876,fourier_concentration_k5,2.141332290511389,4.331232515101209,4.951800487792166,1.0
mlp_add97_f0.3_wd1.0_softmax_ce_s2,mlp,add,97,0.3,1.0,2,0.9903106859431106,fourier_concentration_k5,2.0052443532010904,4.370455262338772,0.8341317035765378,1.0
mlp_add97_f0.3_wd1.0_softmax_ce_s3,mlp,add,97,0.3,1.0,3,0.9083018375697468,fourier_concentration_k5,1.2821082672382644,2.3673131737644417,2.71179394570642,1.0
mlp_add97_f0.3_wd1.0_softmax_ce_s4,mlp,add,97,0.3,1.0,4,0.9876122590101613,fourier_concentration_k5,1.5816923120596091,3.2967092504735738,1.9377388935246211,1.0
mlp_add97_f0.4_wd0.0_softmax_ce_s0,mlp,add,97,0.4,0.0,0,0.2986591892352295,fourier_concentration_k5,0.9868589365682848,0.9795946568455159,1.0745556111509404,1.0
mlp_add97_f0.4_wd0.0_softmax_ce_s1,mlp,add,97,0.4,0.0,1,0.3048162909033425,fourier_concentration_k5,0.964712235456048,0.9656094940146985,1.2524674402265559,0.9998228549957277
mlp_add97_f0.4_wd0.0_softmax_ce_s2,mlp,add,97,0.4,0.0,2,0.3024637237018836,fourier_concentration_k5,1.038998282111683,1.050237438938884,0.9500709664511621,1.0
transformer_add113_f0.3_wd0.1_softmax_ce_s0,transformer,add,113,0.3,0.1,0,0.7592647302298183,fourier_concentration_k5,1.4026492717446335,2.899287092566698,29.75395345343068,0.9982098937034608
