step,h1_max_persistence_normalised,fourier_concentration,fourier_concentration_group,fourier_concentration_k1,fourier_concentration_k2,fourier_concentration_k3,fourier_concentration_k5,fourier_concentration_k10,fourier_concentration_k20,fourier_concentration_group_k1,fourier_concentration_group_k2,fourier_concentration_group_k3,fourier_concentration_group_k5,fourier_concentration_group_k10,fourier_concentration_group_k20,run,operation,t_g
0,0.0533167137970209,0.1173431574352981,0.1218293596233479,0.0236154469970105,0.0472080339010358,0.0707978333667646,0.1173431574352981,0.2312752565463535,0.4490029489403283,0.0258684571190925,0.0500180463591092,0.0740156313650239,0.1218293596233479,0.2374221981723366,0.4548023171491062,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1,0.0533456386251584,0.1173361246978452,0.1218251688527898,0.0236152314168229,0.047209985172246,0.070799952705121,0.1173361246978452,0.2312662922841602,0.4489940309757369,0.0258674334897439,0.0500140222258043,0.0740107645498772,0.1218251688527898,0.237411392249902,0.4548016743126519,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
2,0.0533411861578961,0.1173308285669181,0.1218252522088712,0.0236158826387084,0.0472123226751887,0.0708037493892154,0.1173308285669181,0.2312605782793498,0.4489910252357214,0.0258691715451244,0.0500138225914325,0.0740097777500159,0.1218252522088712,0.2374057927066149,0.4548072969200114,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
3,0.0533174747381942,0.1173265927200925,0.1218252154029103,0.0236168068118562,0.0472143072369101,0.0708076765582073,0.1173265927200925,0.2312558033629692,0.448990145201994,0.0258718512535824,0.0500148898513406,0.0740103693038924,0.1218252154029103,0.2374010819805387,0.4548150895908687,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
4,0.0532780573999452,0.1173230042550082,0.121824713715589,0.0236176105663975,0.0472155697078511,0.0708109641090423,0.1173230042550082,0.2312512145811872,0.4489900509617384,0.0258746955531084,0.0500164053677028,0.0740117335527172,0.121824713715589,0.2373959765328196,0.4548218890754266,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
5,0.0532391097488021,0.1173198950307808,0.121823611694937,0.0236182974356469,0.0472162374648093,0.0708137140910746,0.1173198950307808,0.2312467810497719,0.44899069648746,0.0258775509879022,0.050017955170422,0.0740131756901901,0.121823611694937,0.2373911560339091,0.454828891896133,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
6,0.0532154794605511,0.1173169364948238,0.1218218963519094,0.0236188560722203,0.0472185566791697,0.0708160195217909,0.1173169364948238,0.2312421041840158,0.4489918076434623,0.0258802807522899,0.0500193212421773,0.0740141987338844,0.1218218963519094,0.2373862036189723,0.4548351951611845,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
7,0.0532841504643885,0.1173142557349248,0.1218196013211431,0.0236192901791603,0.047221323448338,0.0708180889450751,0.1173142557349248,0.2312372600829238,0.4489932075744466,0.0258828056444692,0.0500203108963892,0.0740145332000645,0.1218196013211431,0.2373810611222409,0.454840836231318,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
8,0.0533640848091567,0.1173118642941151,0.1218170576175869,0.0236198227626021,0.0472242324321512,0.0708202099085969,0.1173118642941151,0.2312320697991485,0.4489954805689714,0.025885118215005,0.0500208638469467,0.0740141580942118,0.1218170576175869,0.2373758033521995,0.4548455035086044,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
9,0.0534454734604686,0.1173095886803922,0.1218144846043329,0.0236204223360101,0.0472272092979371,0.0708223396494493,0.1173095886803922,0.2312261369353083,0.4489993803083444,0.025887176942329,0.0500209508278343,0.0740130734723869,0.1218144846043329,0.2373706630531472,0.4548493316241222,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
10,0.0535178216559232,0.1173071906106584,0.1218120064353619,0.0236209591136681,0.0472299757317443,0.0708241587355165,0.1173071906106584,0.2312194056226365,0.4490030669433142,0.0258889504896952,0.0500204880056531,0.0740113266258097,0.1218120064353619,0.2373655352599549,0.4548521482177608,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
11,0.0535794908684767,0.1173048459285403,0.1218097262983433,0.0236213481801048,0.0472324703861816,0.0708255927431435,0.1173048459285403,0.2312121610452559,0.4490063959078817,0.0258905711197039,0.0500197373165148,0.0740091588862591,0.1218097262983433,0.2373603726140349,0.4548540476963393,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
12,0.0536295399570801,0.117302862710824,0.12180751451689,0.0236215885930518,0.0472348514513356,0.0708268349020985,0.117302862710824,0.2312048986968224,0.4490096111959313,0.0258921099871825,0.0500187044419811,0.0740065353478619,0.12180751451689,0.237355111041506,0.4548549414783739,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
13,0.05366761049691,0.1173011127283358,0.1218054138014079,0.0236215878456377,0.0472369623792682,0.0708276869523562,0.1173011127283358,0.2311975128264403,0.4490125907576018,0.0258936329342355,0.0500174782926961,0.0740035826957256,0.1218054138014079,0.2373496787631495,0.4548549821946911,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
15,0.0534942243369475,0.1172967578930533,0.1218021466611744,0.0236205317452424,0.0472399238798064,0.0708272709168748,0.1172967578930533,0.231189586169613,0.4490156965719634,0.025897038099601,0.0500150903556154,0.0739973363244613,0.1218021466611744,0.2373383317113416,0.4548550558516157,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
