window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range,window_steps
w500,classification,baselines,32,5,0.5717901234567901,0.2714028148029136,,full,126,31,True,,500.0
w500,classification,baselines+topology,44,5,0.5904197530864197,0.2298180244036609,0.0186296296296295,full,126,31,True,,500.0
w500,classification,fourier,28,5,0.506358024691358,0.2332614364377548,,full,126,31,True,,500.0
w500,classification,lid,2,5,0.5510617283950617,0.0683299418119627,,full,126,31,True,,500.0
w500,classification,topology,12,5,0.6713333333333334,0.1423220328779912,,full,126,31,True,,500.0
w500,classification,weight_norm,2,5,0.6903703703703704,0.1347193620388481,,full,126,31,True,,500.0
w1000,classification,baselines,32,5,0.5282503770739065,0.1480155669285886,,full,121,30,True,,1000.0
w1000,classification,baselines+topology,44,5,0.593911513323278,0.1290943250718017,0.0656611362493714,full,121,30,True,,1000.0
w1000,classification,fourier,28,5,0.4237095692978047,0.1593650410474002,,full,121,30,True,,1000.0
w1000,classification,lid,2,5,0.5368663063516005,0.0912736302834697,,full,121,30,True,,1000.0
w1000,classification,topology,12,5,0.6800620077090664,0.0883778280145347,,full,121,30,True,,1000.0
w1000,classification,weight_norm,2,5,0.634654767890062,0.0962142173575237,,full,121,30,True,,1000.0
w2000,classification,baselines,32,5,0.4717612264278931,0.0968369917379302,,full,119,29,True,,2000.0
w2000,classification,baselines+topology,44,5,0.5820351037851037,0.2344944797498226,0.1102738773572106,full,119,29,True,,2000.0
w2000,classification,fourier,28,5,0.4471116537783205,0.1326876287661622,,full,119,29,True,,2000.0
w2000,classification,lid,2,5,0.5323380816714149,0.1648895513268244,,full,119,29,True,,2000.0
w2000,classification,topology,12,5,0.7203899063899064,0.1519616477336569,,full,119,29,True,,2000.0
w2000,classification,weight_norm,2,5,0.5406681590014923,0.2436472448648281,,full,119,29,True,,2000.0
w5000,classification,baselines,32,5,0.7966759906759907,0.1492150818099683,,full,107,27,True,,5000.0
w5000,classification,baselines+topology,44,5,0.8177700077700077,0.1412510556657397,0.021094017094017,full,107,27,True,,5000.0
w5000,classification,fourier,28,5,0.7408873348873348,0.2226831738534719,,full,107,27,True,,5000.0
w5000,classification,lid,2,5,0.6804292929292929,0.2056245696072348,,full,107,27,True,,5000.0
w5000,classification,topology,12,5,0.8070337995337995,0.1415277652702973,,full,107,27,True,,5000.0
w5000,classification,weight_norm,2,5,0.5470440947940948,0.1645356683122465,,full,107,27,True,,5000.0
