run,observable,model,operation,modulus,train_fraction,weight_decay,label_permutation,loss,optimizer,t_g,t_top,delta
mlp_add97_f0.3_wd0.0_softmax_ce_s0,h1_max_persistence_normalised,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,500.0,2124.0,-1624.0
mlp_add97_f0.3_wd0.0_softmax_ce_s0,h1_total_persistence_normalised,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,500.0,1977.0,-1477.0
mlp_add97_f0.3_wd0.0_softmax_ce_s0,h1_max_persistence,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,500.0,1485.0,-985.0
mlp_add97_f0.3_wd0.0_softmax_ce_s1,h1_max_persistence_normalised,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,600.0,2633.0,-2033.0
mlp_add97_f0.3_wd0.0_softmax_ce_s1,h1_total_persistence_normalised,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,600.0,2828.0,-2228.0
mlp_add97_f0.3_wd0.0_softmax_ce_s1,h1_max_persistence,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,600.0,2282.0,-1682.0
mlp_add97_f0.3_wd0.0_softmax_ce_s2,h1_max_persistence_normalised,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,500.0,2124.0,-1624.0
mlp_add97_f0.3_wd0.0_softmax_ce_s2,h1_total_persistence_normalised,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,500.0,2124.0,-1624.0
mlp_add97_f0.3_wd0.0_softmax_ce_s2,h1_max_persistence,mlp,add,97,0.3,0.0,False,softmax_ce,orthograd_adamw,500.0,1977.0,-1477.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,h1_max_persistence_normalised,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,600.0,1382.0,-782.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,h1_total_persistence_normalised,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,600.0,1382.0,-782.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,h1_max_persistence,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,600.0,1115.0,-515.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,h1_max_persistence_normalised,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,700.0,1595.0,-895.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,h1_total_persistence_normalised,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,700.0,1713.0,-1013.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,h1_max_persistence,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,700.0,1382.0,-682.0
mlp_add97_f0.3_wd0.0_stablemax_ce_s2,h1_max_persistence_normalised,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,51.0,
mlp_add97_f0.3_wd0.0_stablemax_ce_s2,h1_total_persistence_normalised,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,68.0,
mlp_add97_f0.3_wd0.0_stablemax_ce_s2,h1_max_persistence,mlp,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,,
mlp_add97_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,14300.0,18264.0,-3964.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,h1_total_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,14300.0,18264.0,-3964.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,14300.0,18264.0,-3964.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,13200.0,33103.0,-19903.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,h1_total_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,13200.0,28530.0,-15330.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,13200.0,33103.0,-19903.0
mlp_add97_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,12100.0,16955.0,-4855.0
mlp_add97_f0.3_wd1.0_softmax_ce_s2,h1_total_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,12100.0,14613.0,-2513.0
mlp_add97_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,12100.0,16955.0,-4855.0
mlp_add97_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,9500.0,10077.0,-577.0
mlp_add97_f0.3_wd1.0_softmax_ce_s3,h1_total_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,9500.0,10077.0,-577.0
mlp_add97_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,9500.0,15741.0,-6241.0
mlp_add97_f0.3_wd1.0_softmax_ce_s4,h1_max_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,12100.0,15741.0,-3641.0
mlp_add97_f0.3_wd1.0_softmax_ce_s4,h1_total_persistence_normalised,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,12100.0,13566.0,-1466.0
mlp_add97_f0.3_wd1.0_softmax_ce_s4,h1_max_persistence,mlp,add,97,0.3,1.0,False,softmax_ce,adamw,12100.0,19673.0,-7573.0
mlp_add97_f0.4_wd0.0_softmax_ce_s0,h1_max_persistence_normalised,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,900.0,441.0,459.0
mlp_add97_f0.4_wd0.0_softmax_ce_s0,h1_total_persistence_normalised,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,900.0,40.0,860.0
mlp_add97_f0.4_wd0.0_softmax_ce_s0,h1_max_persistence,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,900.0,472.0,428.0
mlp_add97_f0.4_wd0.0_softmax_ce_s1,h1_max_persistence_normalised,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,900.0,151.0,749.0
mlp_add97_f0.4_wd0.0_softmax_ce_s1,h1_total_persistence_normalised,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,900.0,52.0,848.0
mlp_add97_f0.4_wd0.0_softmax_ce_s1,h1_max_persistence,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,900.0,151.0,749.0
mlp_add97_f0.4_wd0.0_softmax_ce_s2,h1_max_persistence_normalised,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,1100.0,55.0,1045.0
mlp_add97_f0.4_wd0.0_softmax_ce_s2,h1_total_persistence_normalised,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,1100.0,48.0,1052.0
mlp_add97_f0.4_wd0.0_softmax_ce_s2,h1_max_persistence,mlp,add,97,0.4,0.0,False,softmax_ce,orthograd_adamw,1100.0,55.0,1045.0
mlp_add97_f0.4_wd0.0_stablemax_ce_s0,h1_max_persistence_normalised,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,33.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s0,h1_total_persistence_normalised,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,179.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s0,h1_max_persistence,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,8757.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s1,h1_max_persistence_normalised,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,12.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s1,h1_total_persistence_normalised,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,225.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s1,h1_max_persistence,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,8757.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s2,h1_max_persistence_normalised,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,14937.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s2,h1_total_persistence_normalised,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,414.0,
mlp_add97_f0.4_wd0.0_stablemax_ce_s2,h1_max_persistence,mlp,add,97,0.4,0.0,False,stablemax_ce,adamw,,11881.0,
transformer_add113_f0.3_wd0.1_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,13000.0,15126.0,-2126.0
transformer_add113_f0.3_wd0.1_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,13000.0,15126.0,-2126.0
transformer_add113_f0.3_wd0.1_softmax_ce_s0,h1_max_persistence,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,13000.0,15126.0,-2126.0
transformer_add113_f0.3_wd0.1_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,12000.0,14622.0,-2622.0
transformer_add113_f0.3_wd0.1_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,12000.0,15630.0,-3630.0
transformer_add113_f0.3_wd0.1_softmax_ce_s1,h1_max_persistence,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,12000.0,16134.0,-4134.0
transformer_add113_f0.3_wd0.1_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,14000.0,16639.0,-2639.0
transformer_add113_f0.3_wd0.1_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,14000.0,21176.0,-7176.0
