step,train_acc,test_acc,run,model,loss,optimizer,lr,weight_decay,t_g,diverged
0,0.009564293548464775,0.0110841179266572,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
100,0.4488133192062378,0.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
200,0.6567481160163879,0.0003036744601558894,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
300,0.7304286360740662,0.0006073489203117788,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
400,0.781792402267456,0.01153962966054678,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
500,0.8880623579025269,0.5163984298706055,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
600,0.9787459969520569,0.9122380614280701,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
700,0.9907899498939514,0.9583966135978699,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
800,0.9975203275680542,0.9825387001037598,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
900,0.9992915391921997,0.9927117824554443,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1000,1.0,0.9969632625579834,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1100,1.0,0.9984816312789917,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1200,1.0,0.9993926286697388,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1300,1.0,0.9996963143348694,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1400,1.0,0.9996963143348694,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1500,1.0,0.9998481869697571,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
1900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
2900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
3900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
4900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
5900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
6900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
7000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
7100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
7200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
7300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
7400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
