panel,run,step,gap,distance,rate,t_g
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,504,504,0.24870111737090395,0.0004934545979581428,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,1008,504,0.07690999612254398,0.00015259919865584124,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,1513,505,0.05759311561005546,0.00011404577348525833,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,2017,504,0.05695957449924937,0.00011301502876835192,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,2521,504,0.17178668946809836,0.00034084660608749677,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,3025,504,0.20532243476562828,0.0004073857832651355,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,3529,504,0.13307063590638138,0.0002640290394967884,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,4034,505,0.14790854467851133,0.00029288820728418086,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,4538,504,0.17855877741857157,0.00035428328852891186,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,5042,504,0.1718836467519684,0.00034103898165073097,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,5546,504,0.16143753306604156,0.0003203125656072253,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,6050,504,0.16882917907080686,0.0003349785299023946,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,6555,505,0.13058905209682245,0.00025859218236994546,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,7059,504,0.15028995807811088,0.000298194361266093,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,7563,504,0.12848533342362664,0.00025493121711037033,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,8067,504,0.1184428224482095,0.00023500560009565377,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,8571,504,0.12195836103390167,0.00024198087506726521,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,9076,505,0.12632313184945748,0.0002501448155434802,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,9580,504,0.11952635402210726,0.0002371554643295779,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,10084,504,0.10921018488755087,0.00021668687477688665,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,10588,504,0.11301232697296837,0.00022423080748604836,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,11092,504,0.1409166341978098,0.0002795964964242258,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,11597,505,0.07009046531758498,0.00013879300062888115,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,12101,504,0.19522298260914214,0.00038734718771655185,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,12605,504,0.2074905325328334,0.0004116875645492726,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13109,504,0.7795033318509889,0.0015466335949424381,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13613,504,0.25681692442458814,0.0005095573897313257,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,14118,505,0.7932348376409477,0.0015707620547345499,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,14622,504,1.0910768355730107,0.002164834991216291,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,15126,504,1.9099315059228277,0.003789546638735769,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,15630,504,1.528722183683764,0.003033178935880484,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,16134,504,2.227573854378963,0.004419789393609054,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,16639,505,1.0422748158207311,0.0020639105263776853,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,17143,504,2.6400589979546862,0.005238212297529139,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,17647,504,2.110374539998731,0.004187251071426053,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,18151,504,2.3693977855751616,0.0047011860824904,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,18655,504,0.8501707923449632,0.0016868468102082602,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,19160,505,1.2871227335972846,0.002548757888311455,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,19664,504,1.6707143342914683,0.003314909393435453,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,20168,504,1.6578598755835774,0.0032894045150467805,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,20672,504,1.3774478769246588,0.0027330315018346406,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,21176,504,1.726368573306585,0.0034253344708463987,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,21681,505,1.4034934013684188,0.002779194854194889,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,22185,504,2.771113950855447,0.00549824196598303,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,22689,504,2.7403104527965088,0.0054371239142787875,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,23193,504,1.8240264422689676,0.0036191000838669994,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,23697,504,1.5637290604693925,0.0031026370247408583,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,24202,505,1.1244367783930747,0.0022266074819664843,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,24706,504,0.8476790828457997,0.0016819029421543646,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,25210,504,1.501218089794946,0.0029786073210217186,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,25714,504,1.6069488051681564,0.003188390486444755,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,26218,504,1.4993075023887499,0.0029748164729935514,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,26723,505,0.8757883536896225,0.0017342343637418267,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,27227,504,0.9177634846107839,0.0018209592948626667,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,27731,504,1.6448078820978236,0.003263507702575047,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,28235,504,0.9527889376921255,0.00189045424145263,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,28739,504,1.7608613754951055,0.0034937725704267965,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,29244,505,1.2566335482525592,0.002488383263866454,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,29748,504,1.4921133666852675,0.0029605423942168007,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,30252,504,1.1686313460849014,0.0023187129882636932,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,30756,504,1.4556635136671336,0.002888221257276059,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,31261,505,1.4318531130201417,0.0028353526990497857,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,31765,504,1.5190058178226493,0.0030139004321877963,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,32269,504,1.066544179448443,0.002116159086207228,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,32773,504,1.018768851461778,0.0020213667687733693,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,33277,504,0.9895343873149651,0.0019633618795931846,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,33782,505,2.8940861145623713,0.005730863593192814,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,34286,504,1.181184548708926,0.0023436201363272345,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,34790,504,1.31701645895946,0.0026131278947608334,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,35294,504,1.6090544189544644,0.0031925682915763184,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,35798,504,0.8037765592925942,0.0015947947605011788,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,36303,505,1.2041616357305323,0.0023844784865951134,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,36807,504,1.7895627944431762,0.0035507198302443975,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,37311,504,1.1395953123855802,0.0022611018102888496,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,37815,504,1.547286901241705,0.0030700136929398907,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,38319,504,2.0543627071217916,0.004076116482384507,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,38824,505,1.381990623579514,0.0027366150961970577,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,39328,504,1.296730388537573,0.002572877755034867,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,39832,504,1.0574638462866697,0.0020981425521560907,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,40336,504,1.3903006308797619,0.0027585329977773054,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,40840,504,1.5785345214041753,0.0031320129392939985,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,41345,505,2.684416352685556,0.005315675945911992,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,41849,504,1.4464097310606354,0.002869860577501261,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,42353,504,1.627498113436869,0.003229162923485851,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,42857,504,1.4738015246787262,0.002924209374362552,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,43361,504,3.8440604597482797,0.007627104086802142,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,43866,505,1.3007429517135756,0.0025757286172546053,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,44370,504,1.9573225160550245,0.0038835764207440964,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,44874,504,1.0078480039830147,0.0019996984206012195,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,45378,504,0.8146206126843636,0.0016163107394531024,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,45882,504,1.4494011725539457,0.002875795977289575,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,46387,505,4.193817488668935,0.008304589086473139,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,46891,504,1.917510640075057,0.003804584603323526,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,47395,504,2.014058722842849,0.003996148259608827,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,47899,504,1.087575517450642,0.0021578879314496867,13000.0
