regime,condition,stage,depth,layer,cells,betti_1,betti_2,torus_frac,life_1,life_2
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,after,0,operands,15,0.0,0.0,0.0,0.0666224379077362,0.0405114865879946
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,after,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0310061882650274,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,after,2,blocks.0.hook_mlp_out,15,0.2,0.0,0.0,0.0292892602658828,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,after,3,hook_resid_final,15,0.26666666666666666,0.0,0.0,0.0391325141291832,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,after,4,logits,15,0.2,0.0,0.0,0.0404373827479126,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,at,0,operands,15,0.0,0.0,0.0,0.066276776575379,0.0412200249689464
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,at,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0336885787624398,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,at,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0285703132445832,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,at,3,hook_resid_final,15,0.0,0.0,0.0,0.0295336276736768,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,at,4,logits,15,0.06666666666666667,0.0,0.0,0.0308720819018276,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,before,0,operands,15,0.0,0.06666666666666667,0.06666666666666667,0.0629181683369803,0.0431238875046247
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,before,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0316955517211389,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,before,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0265117076501966,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,before,3,hook_resid_final,15,0.0,0.0,0.0,0.0305119040704235,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,before,4,logits,15,0.0,0.0,0.0,0.0317080354890113,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,init,0,operands,15,0.0,0.0,0.0,0.0643355030377913,0.0384314368465301
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,init,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0266051008623976,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,init,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0296195105315378,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,init,3,hook_resid_final,15,0.0,0.0,0.0,0.0295110747367462,0.0
canonical,transformer_add97_f0.3_wd1.0_softmax_ce,init,4,logits,15,0.0,0.0,0.0,0.0303134282445782,0.0
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,after,0,operands,15,2.0,1.0,1.0,0.4763115050388786,0.4236858795050072
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,after,1,hook_hidden,15,1.0,0.06666666666666667,0.06666666666666667,0.6391874911795907,0.0222750927740689
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,after,2,logits,15,1.0,0.06666666666666667,0.06666666666666667,0.6128032614274428,0.02607137334042
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,at,0,operands,15,1.6,0.8666666666666667,0.8666666666666667,0.2647474271822279,0.219525318703237
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,at,1,hook_hidden,15,0.2,0.0,0.0,0.0309949288857467,0.0
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,at,2,logits,15,0.13333333333333333,0.0,0.0,0.0299095218579445,0.0
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,before,0,operands,15,1.6,0.8,0.8,0.266378387377608,0.2252460197778435
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,before,1,hook_hidden,15,0.4,0.0,0.0,0.0329141280677919,0.0
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,before,2,logits,15,0.3333333333333333,0.0,0.0,0.0319850709094245,0.0
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,init,0,operands,15,0.0,0.0,0.0,0.0643355030377913,0.0384314368465301
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,init,1,hook_hidden,15,0.0,0.0,0.0,0.0297436547240236,0.0
mlp,mlp_add97_f0.3_wd1.0_softmax_ce,init,2,logits,15,0.0,0.0,0.0,0.0274754406027984,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,0,operands,15,0.0,0.26666666666666666,0.26666666666666666,0.0606360917712825,0.0468343634585724
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0303432720087318,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0254732159578767,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,3,blocks.1.hook_attn_out,15,0.0,0.0,0.0,0.0302630606307336,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,4,blocks.1.hook_mlp_out,15,0.2,0.0,0.0,0.0360812300751588,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,5,hook_resid_final,15,0.3333333333333333,0.0,0.0,0.054263926976265,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,after,6,logits,15,0.3333333333333333,0.0,0.0,0.0365267424284347,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,0,operands,15,0.0,0.26666666666666666,0.26666666666666666,0.0698248832517141,0.0572393028701656
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0278343300454978,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0276594417757726,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,3,blocks.1.hook_attn_out,15,0.0,0.0,0.0,0.0308721830331934,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,4,blocks.1.hook_mlp_out,15,0.0,0.0,0.0,0.0276436578704746,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,5,hook_resid_final,15,0.0,0.0,0.0,0.0314123465016628,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,at,6,logits,15,0.0,0.0,0.0,0.0301008307025397,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,0,operands,15,0.0,0.13333333333333333,0.13333333333333333,0.0632244413997982,0.037934812745142
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0287634007542054,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0275165758151367,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,3,blocks.1.hook_attn_out,15,0.0,0.0,0.0,0.0295235035812273,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,4,blocks.1.hook_mlp_out,15,0.0,0.0,0.0,0.028354995276381,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,5,hook_resid_final,15,0.0,0.0,0.0,0.0282228967008848,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,before,6,logits,15,0.0,0.0,0.0,0.031391020784484,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,0,operands,15,0.0,0.0,0.0,0.0644117382053143,0.0382438147273011
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,1,blocks.0.hook_attn_out,15,0.0,0.0,0.0,0.0285596405055985,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,2,blocks.0.hook_mlp_out,15,0.0,0.0,0.0,0.0304760478820935,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,3,blocks.1.hook_attn_out,15,0.13333333333333333,0.0,0.0,0.0290789612470809,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,4,blocks.1.hook_mlp_out,15,0.0,0.0,0.0,0.0286972454755103,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,5,hook_resid_final,15,0.13333333333333333,0.0,0.0,0.0315921735670241,0.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce,init,6,logits,15,0.0,0.0,0.0,0.0294177833323315,0.0
