window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range
w500,classification,weight_norm,2,5,0.6903703703703704,0.13471936203884816,,full,126,31,True,
w500,classification,lid,2,5,0.5510617283950617,0.06832994181196275,,full,126,31,True,
w500,classification,fourier,28,5,0.506358024691358,0.2332614364377548,,full,126,31,True,
w500,classification,topology,12,5,0.6713333333333334,0.1423220328779912,,full,126,31,True,
w500,classification,baselines,32,5,0.5717901234567901,0.27140281480291367,,full,126,31,True,
w500,classification,baselines+topology,44,5,0.5904197530864197,0.22981802440366095,0.01862962962962955,full,126,31,True,
w500,regression,weight_norm,2,5,-0.8721588479210984,1.045690351996906,,full,81,21,True,2.374748346010104
w500,regression,lid,2,5,-0.06866322144473505,0.23523684636765138,,full,81,21,True,2.374748346010104
w500,regression,fourier,28,5,-0.23275165406325096,0.484845604921816,,full,81,21,True,2.374748346010104
w500,regression,topology,12,5,-0.19533446329804255,0.528989984304615,,full,81,21,True,2.374748346010104
w500,regression,baselines,32,5,-0.30349588645051995,0.40930903420242987,,full,81,21,True,2.374748346010104
w500,regression,baselines+topology,44,5,-0.26289736913862577,0.388567405898319,0.04059851731189418,full,81,21,True,2.374748346010104
w500,regression,weight_norm,2,5,-0.6271131147149317,0.6173454526051533,,holdout,78,20,True,2.2218487496163566
w500,regression,lid,2,5,-0.18204430035417912,0.2838464407900786,,holdout,78,20,True,2.2218487496163566
w500,regression,fourier,28,5,-1.1169659425456708,1.8661868207472654,,holdout,78,20,True,2.2218487496163566
w500,regression,topology,12,5,-0.07477045102557316,0.4730621293544637,,holdout,78,20,True,2.2218487496163566
w500,regression,baselines,32,5,-0.8370490358973219,1.2856676093536283,,holdout,78,20,True,2.2218487496163566
w500,regression,baselines+topology,44,5,-0.6057258244982789,1.0220810062668015,0.231323211399043,holdout,78,20,True,2.2218487496163566
w500,regression,weight_norm,2,5,-0.46132550072838807,0.3299685704160539,,winsorised,81,21,True,2.374748346010104
w500,regression,lid,2,5,-0.05321003082148192,0.10364954617612125,,winsorised,81,21,True,2.374748346010104
w500,regression,fourier,28,5,-0.06178255645942603,0.13169419842894198,,winsorised,81,21,True,2.374748346010104
w500,regression,topology,12,5,-0.20803853379516327,0.34286355768296206,,winsorised,81,21,True,2.374748346010104
w500,regression,baselines,32,5,-0.11371565202756509,0.12893632135486155,,winsorised,81,21,True,2.374748346010104
w500,regression,baselines+topology,44,5,-0.12611681618562745,0.21059304446710336,-0.012401164158062361,winsorised,81,21,True,2.374748346010104
