model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n_runs,n_grokked,h1_max_persistence__connectivity__verdict,h1_max_persistence__mean_pairwise__verdict,h1_max_persistence__diameter__verdict,h1_max_persistence__rms_radius__verdict,h1_total_persistence__connectivity__verdict,h1_total_persistence__mean_pairwise__verdict,h1_total_persistence__diameter__verdict,h1_total_persistence__rms_radius__verdict
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,above,above,above,above,inside,inside,inside,inside
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,3,2,above,above,above,above,above,inside,inside,inside
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,3,inside,inside,inside,inside,inside,inside,inside,inside
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,3,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,5,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,5,below,below,below,below,below,below,below,below
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,5,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,5,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,3,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,5,1,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,inside,inside,inside,inside,inside,inside,inside,inside
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,5,above,above,above,above,above,above,above,above
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,inside,inside,inside,inside,above,above,inside,above
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,2,inside,inside,inside,inside,inside,inside,inside,inside
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,7,7,above,inside,inside,inside,above,inside,above,inside
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,inside,inside,inside,inside,inside,above,above,above
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,inside,above,inside,above,inside,above,inside,above
transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,0.3,2,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,0.3,2,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,1.0,2,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,0,inside,inside,inside,inside,inside,inside,inside,inside
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,2,above,above,above,above,above,above,above,above
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,2,above,above,above,above,above,above,above,above
