run,condition,n_draws,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,1,60000,1.2491936772223735,0.19948362032736544,0.7450994043402712,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,1,59000,1.2294909439699757,0.1866552536198103,0.8621607047361781,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,1,58000,1.1780557759555805,0.151143757018763,0.8953274519831271,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,1,57000,1.2720685359615689,0.21387883456759635,0.9260042609262289,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,1,56000,1.155564881703451,0.1346223688228812,0.9074436766347848,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,4,60000,1.2066066692005373,0.17122951039001705,0.9798821494112501,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,4,59000,1.2030168039113154,0.16875641574685898,0.9726615319711576,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,4,58000,1.173687325393553,0.14798432396406194,0.9693302614780095,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,4,57000,1.2223454448269415,0.1819006613620759,0.9619161588578119,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,4,56000,1.1520548116511968,0.1319857441793611,0.9438303439228243,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,8,60000,1.2183021558855085,0.1791855615053378,0.9776697699891573,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,8,59000,1.1763305861260658,0.14989883643743712,0.9929711451845837,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,8,58000,1.179889087213949,0.15246270955748714,0.998159012412716,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,8,57000,1.1759390741415081,0.1496158074940678,0.9704127698443908,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,8,56000,1.1501039126403843,0.13051334839456277,0.9800434497239302,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,1,60000,1.2531591431857834,0.20201675466549424,0.9614182378643884,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,1,59000,1.1887157375619748,0.15875598479837227,0.9312302363002676,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,1,58000,1.1998054879956896,0.1665315669871377,0.8578908137993145,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,1,57000,1.2345810570353621,0.19000863142892288,0.8652937421681473,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,1,56000,1.2196314916354656,0.1800802071295738,0.9673687564822738,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,4,60000,1.2125788942907927,0.17531139234872206,0.98137938205411,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,4,59000,1.216389524250592,0.17789492587410097,0.958374667230985,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,4,58000,1.2134146315685144,0.17587939523412957,0.9523968551610131,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,4,57000,1.206399009151898,0.17108685234829307,0.9825367233939092,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,4,56000,1.179162845576063,0.15194071476067886,0.9551936261931345,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,8,60000,1.2112729344787017,0.17442223669401788,0.9835313563164823,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,8,59000,1.1974280853699373,0.16487677864090106,0.9949416712753893,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,8,58000,1.2055543805760847,0.1705061039866644,0.995477383063596,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,8,57000,1.22078814988393,0.18085705525968782,0.9944704966788576,8.0
transformer_add113_f0.3_wd0.1_dense_s1,transformer_add113_f0.3_wd0.1_dense,8,56000,1.1932812681593317,0.16197461010803701,0.980709151985229,8.0
