anchor,factor,n,circularity,ratio,t_g,d_circularity
canonical,act,3,0.5340527891048714,2.1606111644513244,44000.0,0.199398637919104
canonical,batch_size,3,0.1628672490906623,0.9478029472299394,,-0.1717869020951051
canonical,d_mlp,3,0.3279807094533157,1.1259812292446023,93000.0,-0.006673441732451713
canonical,eps,3,0.242025563963712,1.0663952345579188,112000.0,-0.09262858722205541
canonical,lr,3,0.6713039731570014,1.7322796057736372,18000.0,0.336649821971234
canonical,lr+n_layers,3,0.8513309970680347,10.478214193362946,12000.0,0.5166768458822673
canonical,n_layers,3,0.8601752141417142,2.699799352728353,90500.0,0.5255210629559468
canonical,—,3,0.3346541511857674,1.0999087868485053,106500.0,0.0
reference,act,3,0.8338372538930657,7.126053504084463,12500.0,0.06672063470755818
reference,batch_size,3,0.8624115132589715,5.178895775412206,13500.0,0.09529489407346392
reference,d_mlp,3,0.8479957112044709,4.509784706814007,13000.0,0.08087909201896337
reference,eps,3,0.7576749333588046,3.540045513943957,13500.0,-0.009441685826702906
reference,lr,3,0.5590184728881232,6.723118933509708,66500.0,-0.20809814629738432
reference,lr+n_layers,3,0.3516321861084143,1.2923122250878976,37500.0,-0.41548443307709326
reference,n_layers,3,0.6350171730997662,1.6311148552281463,10500.0,-0.1320994460857413
reference,—,3,0.7671166191855076,2.70829362164571,13000.0,0.0
