run,anchor,factor,circularity,ratio,t_g
transformer_add113_f0.3_wd0.1_recipe-rC-2layer-lr3e-3_s0,canonical,lr+n_layers,0.8513309970680347,6.8407724327188015,12000.0
transformer_add113_f0.3_wd0.1_recipe-rC-2layer-lr3e-3_s1,canonical,lr+n_layers,0.8437332275897172,17.83342768189299,12000.0
transformer_add113_f0.3_wd0.1_recipe-rC-2layer-lr3e-3_s2,canonical,lr+n_layers,0.9054489194746372,10.478214193362946,11500.0
transformer_add113_f0.3_wd0.1_recipe-rC-2layer_s0,canonical,n_layers,0.881618560395611,4.271278839556073,98500.0
transformer_add113_f0.3_wd0.1_recipe-rC-2layer_s1,canonical,n_layers,0.5536515439063007,1.2656729472070567,90500.0
transformer_add113_f0.3_wd0.1_recipe-rC-2layer_s2,canonical,n_layers,0.8601752141417142,2.699799352728353,75500.0
transformer_add113_f0.3_wd0.1_recipe-rC-batch512_s0,canonical,batch_size,0.1668592881719283,0.8601058631534625,
transformer_add113_f0.3_wd0.1_recipe-rC-batch512_s1,canonical,batch_size,0.1628672490906623,0.9478029472299394,
transformer_add113_f0.3_wd0.1_recipe-rC-batch512_s2,canonical,batch_size,0.1506031021485876,1.0727221463281267,
transformer_add113_f0.3_wd0.1_recipe-rC-eps1e-6_s0,canonical,eps,0.242025563963712,1.231817673533907,106500.0
transformer_add113_f0.3_wd0.1_recipe-rC-eps1e-6_s1,canonical,eps,0.1834073191778668,0.9995872431650819,
transformer_add113_f0.3_wd0.1_recipe-rC-eps1e-6_s2,canonical,eps,0.2764307076683869,1.0663952345579188,117500.0
transformer_add113_f0.3_wd0.1_recipe-rC-gelu_s0,canonical,act,0.525512006044883,1.9066924396497211,44000.0
transformer_add113_f0.3_wd0.1_recipe-rC-gelu_s1,canonical,act,0.5340527891048714,3.0008909237813493,43000.0
transformer_add113_f0.3_wd0.1_recipe-rC-gelu_s2,canonical,act,0.5416868846678794,2.1606111644513244,53000.0
transformer_add113_f0.3_wd0.1_recipe-rC-lr3e-3_s0,canonical,lr,0.6142185106257527,1.348982272182523,18000.0
transformer_add113_f0.3_wd0.1_recipe-rC-lr3e-3_s1,canonical,lr,0.6713039731570014,1.7560507400826615,16000.0
transformer_add113_f0.3_wd0.1_recipe-rC-lr3e-3_s2,canonical,lr,0.7095600019850169,1.7322796057736372,19500.0
transformer_add113_f0.3_wd0.1_recipe-rC-narrow_s0,canonical,d_mlp,0.3177601220720098,0.8131104215268097,86000.0
transformer_add113_f0.3_wd0.1_recipe-rC-narrow_s1,canonical,d_mlp,0.3347864500096789,1.3682771057430665,93000.0
transformer_add113_f0.3_wd0.1_recipe-rC-narrow_s2,canonical,d_mlp,0.3279807094533157,1.1259812292446023,110000.0
transformer_add113_f0.3_wd0.1_recipe-rC_s0,canonical,—,0.4368462018812275,1.1139626704454013,106500.0
transformer_add113_f0.3_wd0.1_recipe-rC_s1,canonical,—,0.3035233064545271,1.0999087868485053,113000.0
transformer_add113_f0.3_wd0.1_recipe-rC_s2,canonical,—,0.3346541511857674,0.912236779516392,105000.0
transformer_add113_f0.3_wd0.1_recipe-rT-1layer-lr1e-3_s0,reference,lr+n_layers,0.3516321861084143,1.2923122250878976,37500.0
transformer_add113_f0.3_wd0.1_recipe-rT-1layer-lr1e-3_s1,reference,lr+n_layers,0.4108600211621237,1.529281048734369,31000.0
transformer_add113_f0.3_wd0.1_recipe-rT-1layer-lr1e-3_s2,reference,lr+n_layers,0.3129643810555579,0.8755287495814269,37500.0
transformer_add113_f0.3_wd0.1_recipe-rT-1layer_s0,reference,n_layers,0.5374775558568313,1.6311148552281463,11500.0
transformer_add113_f0.3_wd0.1_recipe-rT-1layer_s1,reference,n_layers,0.6564702865573905,2.1059275394375523,9500.0
transformer_add113_f0.3_wd0.1_recipe-rT-1layer_s2,reference,n_layers,0.6350171730997662,1.5679744731651073,10500.0
