run,kind,landmarks,n_snapshots,t_g,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,t_top,lead_lag_steps,scale_collapse,condition,is_null
mlp_add97_f0.3_wd1.0_softmax_ce_s0,embedding,0,127,14300.0,0.0484202616098277,0.1560718843761777,3.2232763555432755,0.1973062753677368,0.325934886932373,1.6519235707272864,18264.0,-3964.0,7.340805927567451,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s1,embedding,0,127,13200.0,0.0508976467321563,0.22044954246845,4.331232515101205,0.2045460939407348,0.4380011558532715,2.141332290511389,33103.0,-19903.0,8.742863902865567,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s2,embedding,0,127,12100.0,0.0523148916515538,0.228639893517216,4.370455262338767,0.2135689258575439,0.4282578825950622,2.00524435320109,16955.0,-4855.0,8.07364506099295,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s3,embedding,0,127,9500.0,0.0477076276283889,0.1129388953737335,2.3673131737644413,0.1933162212371826,0.2478523254394531,1.2821082672382642,10077.0,-577.0,6.842824248874547,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s4,embedding,0,127,12100.0,0.0461546612338712,0.1521584986421773,3.2967092504735698,0.1931707859039306,0.3055367469787597,1.5816923120596087,15741.0,-3641.0,7.501975825032115,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s0,hidden,97,127,14300.0,0.0918228681253485,0.3000217282015013,3.2673966118324462,1.857792854309082,4.835391998291016,2.602761651857742,21192.0,-6892.0,0.1806677302339998,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s1,hidden,97,127,13200.0,0.0875625382545668,0.393261516809419,4.49120736616961,1.8467493057250977,6.629438400268555,3.589787947782987,26486.0,-13286.0,0.1635259538906085,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s2,hidden,97,127,12100.0,0.0857975249882138,0.2490989493009215,2.9033349077976407,1.7625389099121094,4.36556339263916,2.4768607195496486,16955.0,-4855.0,0.1531785334282007,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s3,hidden,97,127,9500.0,0.0813972904486812,0.2028428021057324,2.492009266986833,1.824265480041504,3.5791549682617188,1.961970451899517,10077.0,-577.0,0.1620420540096736,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s4,hidden,97,127,12100.0,0.0849129829326647,0.198949005155412,2.3429751056228554,1.8053150177001955,3.243356704711914,1.7965599759113793,2644.0,9456.0,0.1685689541176242,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s0,hidden,300,127,14300.0,0.1232915498832853,0.3196605053017607,2.5927203089292754,2.3877553939819336,4.877277374267578,2.04262018905295,22827.0,-8527.0,0.166176439323404,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s1,hidden,300,127,13200.0,0.1235472129062118,0.3887972110997293,3.146952504666182,2.3316659927368164,6.290398597717285,2.6978129017243444,26486.0,-13286.0,0.148898788308325,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s2,hidden,300,127,12100.0,0.1290339436237449,0.2472232429856997,1.9159551048566537,2.40798568725586,4.156996726989746,1.726337805490472,16955.0,-4855.0,0.1453804633182454,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s3,hidden,300,127,9500.0,0.1301225475239494,0.2076553537218439,1.5958445148303324,2.5343971252441406,3.4422178268432617,1.3581998624275071,10077.0,-577.0,0.1509305655288881,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s4,hidden,300,127,12100.0,0.1248686682287142,0.2244386218294595,1.7973974177282743,2.456934928894043,3.46987533569336,1.4122780765932934,12594.0,-494.0,0.1596058081890602,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s0,logits,97,127,14300.0,0.111166077370991,0.4725314378736286,4.25068014495703,10.506973266601562,44.66866302490234,4.2513349840615176,22827.0,-8527.0,0.0110546112462676,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s1,logits,97,127,13200.0,0.1182105188098743,0.586402873819283,4.960665765814231,10.808815002441406,64.78851318359375,5.994044043584783,22827.0,-9627.0,0.009152199273062,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s2,logits,97,127,12100.0,0.1028330715569824,0.2955533523706606,2.874107987787636,9.400691986083984,33.82537078857422,3.598178819032315,16955.0,-4855.0,0.0087016936267954,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s3,logits,97,127,9500.0,0.1057607747468333,0.2162504637404247,2.0447133094294925,9.899776458740234,23.152374267578125,2.338676470531569,9355.0,145.0,0.0095910425526862,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s4,logits,97,127,12100.0,0.1034523565521153,0.2923436098747985,2.825876757360543,9.631622314453123,28.6665153503418,2.976291471409244,14613.0,-2513.0,0.0102235577450776,mlp add97 f0.3 wd1 lr0.001,False
