condition,kind,cardinality,n_seeds,n_located,ratio_lo,ratio_med,ratio_hi,separation,null_lo,null_hi,verdict,median_lag,lag_spread
mlp add97 f0.3 wd1 lr0.001,embedding,—,5,5,2.3673131737644413,3.2967092504735698,4.370455262338767,3.03724803319401,0.7785306478902537,1.2799979019631846,above,-3964.0,19326.0
transformer add113 f0.3 wd0.1 lr0.003,embedding,—,5,5,2.1978484413082224,2.8992870925666936,5.768599048467292,2.671104228648012,0.7785306478902537,1.2799979019631846,above,-2126.0,1038.0
transformer add97 f0.3 wd1 lr0.001,embedding,—,5,5,0.8806260554151023,1.0854264170867556,1.2091118833356342,1.0,0.7785306478902537,1.2799979019631846,inside,7601.0,38994.0
mlp add97 f0.3 wd1 lr0.001,hidden,300,5,5,1.5958445148303324,1.9159551048566537,3.146952504666182,2.2956711029223724,,,no null,-4855.0,12792.0
transformer add113 f0.3 wd0.1 lr0.003,hidden,300,5,5,2.08844946297143,2.2687509926855856,2.378546740383827,2.7183862922635735,,,no null,-118.0,508.0
transformer add97 f0.3 wd1 lr0.001,hidden,300,5,4,0.7917635532972176,0.8345947737973689,1.16394509240949,1.0,,,no null,27445.0,42068.0
mlp add97 f0.3 wd1 lr0.001,hidden,matched,5,5,2.3429751056228554,2.9033349077976407,4.49120736616961,3.920852373449591,,,no null,-4855.0,22742.0
transformer add113 f0.3 wd0.1 lr0.003,hidden,matched,5,5,2.025317699064788,2.158260355545662,2.2882637537212376,2.9146552176381486,,,no null,-592.0,1521.0
transformer add97 f0.3 wd1 lr0.001,hidden,matched,5,4,0.6046078145454217,0.7404856473194037,0.9612163224802934,1.0,,,no null,27928.0,47287.0
mlp add97 f0.3 wd1 lr0.001,logits,300,5,5,1.5803667120762874,2.5855189042947635,4.362768618367933,3.1577605130456434,,,no null,-4855.0,9772.0
transformer add113 f0.3 wd0.1 lr0.003,logits,300,5,5,1.830372119537085,1.833612905384816,1.9013850348437973,2.2394384427888774,,,no null,-97.0,534.0
transformer add97 f0.3 wd1 lr0.001,logits,300,5,2,0.7616680366573331,0.818782454721699,1.1321282218107829,1.0,,,no null,8311.5,39695.0
mlp add97 f0.3 wd1 lr0.001,logits,matched,5,5,2.0447133094294925,2.874107987787636,4.960665765814231,3.8269873187987096,,,no null,-4855.0,9772.0
transformer add113 f0.3 wd0.1 lr0.003,logits,matched,5,5,1.6751911426144317,1.6933309227579072,1.796834043914843,2.254736424469745,,,no null,899.0,2029.0
transformer add97 f0.3 wd1 lr0.001,logits,matched,5,2,0.6514815156602901,0.7510105857078768,0.8967560406147145,1.0,,,no null,20893.5,17503.0
