model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n,alternative,observed,p,p_bh,significant_bh,p_by,significant_by,observable
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,1.6519235707272861,4.999750012499375e-05,0.0004333116677499458,True,0.001670165035441414,True,h1_max_persistence__ratio
mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,3,greater,3.2177102949539833,4.999750012499375e-05,0.0004333116677499458,True,0.001670165035441414,True,h1_max_persistence__ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2,greater,5.225256061333517,4.999750012499375e-05,0.0004333116677499458,True,0.001670165035441414,True,h1_max_persistence__ratio
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,greater,0.9868589365682848,0.5528723563821809,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,greater,1.0483186859518947,0.3890305484725764,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,greater,0.9107415473124049,0.6231188440577972,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,greater,0.9368835674579562,0.6274186290685466,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,greater,0.6616076027039792,0.895755212239388,1.0,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.9086106289461077,0.624268786560672,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,greater,0.33256522210268663,1.0,1.0,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,greater,1.0098249022559285,0.5805209739513024,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,greater,0.664789989321529,0.8996050197490125,1.0,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,greater,0.9951273816538433,0.5805209739513024,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1,greater,1.1050806718596529,0.4215789210539473,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,0.07991027723671221,1.0,1.0,False,1.0,False,h1_max_persistence__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8646777043721712,0.6809159542022899,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,greater,1.4026492717446335,0.011399430028498575,0.07409629518524075,True,0.2855982210604818,False,h1_max_persistence__ratio
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8828872426574955,0.6260686965651717,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,0.9400765577479177,0.5561721913904305,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,1.1423377587993082,0.28513574321283935,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,17,greater,0.9364647850796288,0.6595170241487925,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,1.1259818894838167,0.36678166091695413,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,0.06176182230224022,1.0,1.0,False,1.0,False,h1_max_persistence__ratio
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8144789280899892,0.7961101944902755,0.985660240797484,False,1.0,False,h1_max_persistence__ratio
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,1.233994657218651,0.08899555022248888,0.4627768611569422,False,1.0,False,h1_max_persistence__ratio
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,1.050418393869243,0.4018299085045748,0.8851907404629769,False,1.0,False,h1_max_persistence__ratio
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,1.4690647147702873,0.22383880805959702,0.41579349603948373,False,1.0,False,h1_total_persistence__ratio
mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,3,greater,3.534223848766154,4.999750012499375e-05,0.0002166558338749729,True,0.000835082517720707,True,h1_total_persistence__ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2,greater,2.343805357957864,0.04869756512174391,0.1808766704521917,False,0.697174604794259,False,h1_total_persistence__ratio
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,greater,1.0825220637750168,0.45297735113244336,0.6905904704764761,False,1.0,False,h1_total_persistence__ratio
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,greater,1.0431551166719946,0.5075746212689366,0.6905904704764761,False,1.0,False,h1_total_persistence__ratio
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8972295861584968,0.5887705614719264,0.6958197544668222,False,1.0,False,h1_total_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,greater,1.2217851555577832,0.2743862806859657,0.47560288652234056,False,1.0,False,h1_total_persistence__ratio
