run,model,step,agreement,agreement_novel,kappa,n_classes_used
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,0,0.1676054841109576,0.16292134831460675,0.021732245215220616,63
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,1,0.12360505898607715,0.12116610993015488,0.011373989420590192,72
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,2,0.10171112764374535,0.10203461888855148,0.012897751975008342,67
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,3,0.08619406950791796,0.08533252353477072,0.006987542397403877,64
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,4,0.09660962907854183,0.09869419981779533,0.014804497516972031,58
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,5,0.11297693697523647,0.11387792286668691,0.02211168498093325,52
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,6,0.13402061855670103,0.13437594898269056,0.03033630947427096,52
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,7,0.15782761186098415,0.15897358032189493,0.03323531123382434,45
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,8,0.17143160803486024,0.17127239599149713,0.020043897292540764,46
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,9,0.19290041449675843,0.19723656240510173,0.014482070848216448,45
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,10,0.21351897119778934,0.21879744913452778,0.015656060020683715,46
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,11,0.22138378148581145,0.22714849681141816,0.020002208218764986,46
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,12,0.2099054097141035,0.2160643789857273,0.01922540428160134,51
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,13,0.18503560420873633,0.1891891891891892,0.015578316840348112,57
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,15,0.130619619513232,0.1319465532948679,0.015846250196630985,69
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,16,0.10149856520352854,0.10264196781050713,0.010127393463644187,75
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,17,0.08364332022531619,0.0822957789249924,0.0111989783723448,79
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,18,0.06770113720905516,0.06680838141512299,0.009685543963696034,82
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,20,0.052609203953661386,0.05132098390525357,0.013607150121065982,87
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,21,0.04644489318737379,0.045095657455208014,0.013564893294932689,89
