window,task,feature_set,n_features,n_folds,score_mean,score_std,n_compressed,increment_over_baselines,variant,n_runs,n_groups,target_range
tc,classification,weight_norm,2,5,0.6672222222222223,0.22122024204153318,0,,full,,,
tc,classification,lid,2,5,0.43924836601307193,0.07443899283980462,0,,full,,,
tc,classification,fourier,28,5,0.717156862745098,0.16451371194082634,0,,full,,,
tc,classification,topology,12,5,0.6688888888888889,0.19637734840667043,0,,full,,,
tc,classification,baselines,32,5,0.6831699346405229,0.15843661685921115,0,,full,,,
tc,classification,baselines+topology,44,5,0.6901307189542484,0.15537195321673686,0,0.006960784313725488,full,,,
tc,classification,topology_vector,656,5,0.7358496732026143,0.19748903277321814,656,,full,,,
tc,classification,baselines+topology_vector,688,5,0.670326797385621,0.15689884524685532,656,,full,,,
tc,classification,topology_vector_permuted,656,5,0.4409150326797386,0.07302284473869441,656,,full,,,
tc,regression,weight_norm,2,5,-0.5349210757289233,0.41062286157858835,0,,full,91.0,20.0,2.4539295920577286
tc,regression,lid,2,5,-0.22136885744734608,0.6322302089687484,0,,full,91.0,20.0,2.4539295920577286
tc,regression,fourier,28,5,0.1921457027080469,0.24310205853550074,0,,full,91.0,20.0,2.4539295920577286
tc,regression,topology,12,5,-0.21457111869742068,0.39010045958293454,0,,full,91.0,20.0,2.4539295920577286
tc,regression,baselines,32,5,0.15137562983227065,0.24338600390620468,0,,full,91.0,20.0,2.4539295920577286
tc,regression,baselines+topology,44,5,0.18507417344223182,0.20922592912375593,0,0.03369854360996116,full,91.0,20.0,2.4539295920577286
tc,regression,topology_vector,656,5,-18.312707601605673,36.58750844597529,656,,full,91.0,20.0,2.4539295920577286
tc,regression,baselines+topology_vector,688,5,-23.91629603950173,47.066092267914016,656,,full,91.0,20.0,2.4539295920577286
tc,regression,topology_vector_permuted,656,5,-0.430507861909912,0.8189958222588232,656,,full,91.0,20.0,2.4539295920577286
tc,regression,weight_norm,2,5,-1.4077540001170492,1.2469917342097152,0,,holdout,88.0,19.0,2.3010299956639813
tc,regression,lid,2,5,-1.2837427072014365,1.5668582327500558,0,,holdout,88.0,19.0,2.3010299956639813
tc,regression,fourier,28,5,-0.9469317855528377,1.513439384617178,0,,holdout,88.0,19.0,2.3010299956639813
tc,regression,topology,12,5,-0.8602887658594977,0.943794374681372,0,,holdout,88.0,19.0,2.3010299956639813
tc,regression,baselines,32,5,-1.0001146518182733,1.494247018101688,0,,holdout,88.0,19.0,2.3010299956639813
tc,regression,baselines+topology,44,5,-0.5502974927657254,0.7998168220663886,0,0.44981715905254793,holdout,88.0,19.0,2.3010299956639813
tc,regression,topology_vector,656,5,-1.4106365076825909,1.4801332049107763,656,,holdout,88.0,19.0,2.3010299956639813
tc,regression,baselines+topology_vector,688,5,-0.9539389532833269,0.5733626864175397,656,,holdout,88.0,19.0,2.3010299956639813
